feature,importance,importance_type,importance_share
cluster_6,0.384208,model_feature_importance,0.384208
segment_Declining Frequent Buyers,0.342086,model_feature_importance,0.342086
avg_profit_per_order,0.182099,model_feature_importance,0.182099
avg_order_value,0.03233,model_feature_importance,0.03233
profit_margin,0.030823,model_feature_importance,0.030823
calibration_cost,0.009564,model_feature_importance,0.009564
monetary,0.005405,model_feature_importance,0.005405
calibration_revenue,0.004951,model_feature_importance,0.004951
rfm_normalized_score,0.003605,model_feature_importance,0.003605
revenue_per_product,0.001215,model_feature_importance,0.001215
quantity_per_month,0.0012,model_feature_importance,0.0012
churn_probability,0.000364,model_feature_importance,0.000364
avg_quantity_per_order,0.00036,model_feature_importance,0.00036
calibration_order_lines,0.000319,model_feature_importance,0.000319
customer_tenure_days,0.000199,model_feature_importance,0.000199
orders_per_month,0.000199,model_feature_importance,0.000199
calibration_quantity,0.000198,model_feature_importance,0.000198
calibration_products,0.000191,model_feature_importance,0.000191
average_latency,0.000155,model_feature_importance,0.000155
recency,8.8e-05,model_feature_importance,8.8e-05
territory_name_Northwest,8.5e-05,model_feature_importance,8.5e-05
days_since_last_purchase,6.2e-05,model_feature_importance,6.2e-05
territory_name_Canada,4.2e-05,model_feature_importance,4.2e-05
territory_name_Southwest,3.2e-05,model_feature_importance,3.2e-05
cluster_7,3.2e-05,model_feature_importance,3.2e-05
territory_name_Germany,3.1e-05,model_feature_importance,3.1e-05
calibration_orders,2.9e-05,model_feature_importance,2.9e-05
calibration_categories,2.3e-05,model_feature_importance,2.3e-05
segment_Lost Customers,2e-05,model_feature_importance,2e-05
cluster_4,1e-05,model_feature_importance,1e-05
territory_name_Southeast,1e-05,model_feature_importance,1e-05
territory_name_Northeast,1e-05,model_feature_importance,1e-05
segment_Frequent Low-Spend Customers,9e-06,model_feature_importance,9e-06
frequency,7e-06,model_feature_importance,7e-06
territory_name_Australia,6e-06,model_feature_importance,6e-06
segment_Recent Low-Value Customers,5e-06,model_feature_importance,5e-06
cluster_8,5e-06,model_feature_importance,5e-06
segment_High Value but Cooling,4e-06,model_feature_importance,4e-06
cluster_1,3e-06,model_feature_importance,3e-06
segment_Inactive Low-Value Customers,3e-06,model_feature_importance,3e-06
segment_Active Minimal Buyers,3e-06,model_feature_importance,3e-06
territory_name_United Kingdom,2e-06,model_feature_importance,2e-06
territory_name_Central,2e-06,model_feature_importance,2e-06
territory_name_France,1e-06,model_feature_importance,1e-06
cluster_3,1e-06,model_feature_importance,1e-06
cluster_2,1e-06,model_feature_importance,1e-06
segment_Inactive Minimal Buyers,1e-06,model_feature_importance,1e-06
cluster_0,0.0,model_feature_importance,0.0
segment_Champions,0.0,model_feature_importance,0.0
cluster_5,0.0,model_feature_importance,0.0
