sediment_sample,source_S,source_D,source_PF,source_F
mel1,1,0,0,0
mel2,0,1,0,0
mel3,0,0,1,0
mel4,0,0,0,1
mel5,0.25,0.25,0.25,0.25
mel6,0.875,0.125,0,0
mel7,0.625,0.375,0,0
mel8,0.375,0.625,0,0
mel9,0.125,0.875,0,0
mel10,0,0.875,0.125,0
mel11,0,0.625,0.375,0
mel12,0,0.375,0.625,0
mel13,0,0.125,0.875,0
mel14,0.875,0,0.125,0
mel15,0.625,0,0.375,0
mel16,0.375,0,0.625,0
mel17,0.125,0,0.875,0
mel18,0,0,0.125,0.875
mel19,0,0,0.375,0.625
mel20,0,0,0.625,0.375
mel21,0,0,0.875,0.125
mel22,0,0.125,0,0.875
mel23,0,0.375,0,0.625
mel24,0,0.625,0,0.375
mel25,0,0.875,0,0.125
mel26,0.125,0,0,0.875
mel27,0.375,0,0,0.625
mel28,0.625,0,0,0.375
mel29,0.875,0,0,0.125
mel30,0.1,0.3,0.3,0.3
mel31,0.3,0.1,0.3,0.3
mel32,0.3,0.3,0.1,0.3
mel33,0.3,0.3,0.3,0.1
mel34,0.4,0.2,0.2,0.2
mel35,0.2,0.4,0.2,0.2
mel36,0.2,0.2,0.4,0.2
mel37,0.2,0.2,0.2,0.4
mel38,0.55,0.15,0.15,0.15
mel39,0.15,0.55,0.15,0.15
mel40,0.15,0.15,0.55,0.15
mel41,0.15,0.15,0.15,0.55
mel42,0.7,0.1,0.1,0.1
mel43,0.1,0.7,0.1,0.1
mel44,0.1,0.1,0.7,0.1
mel45,0.1,0.1,0.1,0.7
mel46,0.85,0.05,0.05,0.05
mel47,0.05,0.85,0.05,0.05
mel48,0.05,0.05,0.85,0.05
mel49,0.05,0.05,0.05,0.85
mel50,0.7,0.2,0.1,0
mel51,0.1,0.7,0.2,0
mel52,0.2,0.1,0.7,0
mel53,0,0.7,0.2,0.1
mel54,0,0.1,0.7,0.2
mel55,0,0.2,0.1,0.7
mel56,0.7,0,0.2,0.1
mel57,0.1,0,0.7,0.2
mel58,0.2,0,0.1,0.7
mel59,0.7,0.2,0,0.1
mel60,0.1,0.7,0,0.2
mel61,0.2,0.1,0,0.7
mel62,0.9,0.1,0,0
mel63,0.1,0.9,0,0
mel64,0.9,0,0.1,0
mel65,0.1,0,0.9,0
mel66,0.9,0,0,0.1
mel67,0.1,0,0,0.9
mel68,0,0.9,0.1,0
mel69,0,0.1,0.9,0
mel70,0,0.9,0,0.1
mel71,0,0.1,0,0.9
mel72,0,0,0.9,0.1
mel73,0,0,0.1,0.9
mel74,0.5,0.5,0,0
mel75,0.5,0,0.5,0
mel76,0.5,0,0,0.5
mel77,0,0.5,0.5,0
mel78,0,0.5,0,0.5
mel79,0,0,0.5,0.5
