sample,source,type,Mg,Al,Si,K,Ca,Ti,Mn,Fe,Ni,Cu,Zn,Sr,L_star,a_star,b_star,C_star,h,x,y,z,L,a,b,u_star,v_star,u_prime,v_prime
FMS_708A,source_F,source,4479.39,80211.82,182839.6,5123.79,12207.44,6134.34,2164.05,76206,88.12,87.79,156.1,92.36,29.05713611,3.880804695,9.318428729,10.09439602,67.3804,0.367530817,0.365303519,0.267165664,24.20919123,2.547785194,5.143114236,8.784049468,9.422498771,0.221117032,0.494499582
FMS_710,source_F,source,19132.7,78232.46,184598.6,5536.65,21668.07,5507.39,1452.64,77496.84,117.24,48.16,120.67,197.34,36.84367208,5.729059719,14.85526059,15.92198548,68.90424014,0.385374662,0.377275278,0.23735006,30.74700109,4.094007783,8.488459172,14.50682244,15.80310409,0.228147982,0.502544672
FMS_711,source_F,source,14485.31,83729.21,209069.2,9410.9,14917.1,5093.54,1025.56,61579.28,79.25,34.97,122.03,166.33,43.42456434,5.057932711,15.09535903,15.93077366,71.48628222,0.376465859,0.374452321,0.24908182,36.66592319,3.813527113,9.299921863,14.42340981,17.17299464,0.223408872,0.499972562
FMS_712,source_PF,source,3621.08,96939.14,217855.3,11935.63,8702.13,4893.93,466.68,42152.55,39,38.66,137.71,72.72,41.55408176,3.178974969,11.17624428,11.61964005,74.11707976,0.360176752,0.365651431,0.274171817,34.94932921,2.341983792,7.026357027,9.843187608,12.97708026,0.216079936,0.49356994
FMS_713,source_PF,source,13343.61,82208.68,200932.7,8688.11,12529.08,5375.46,1008.03,68254.23,114.68,59.09,131.28,157.51,42.66579105,4.688332479,14.85010825,15.57311464,72.46793647,0.375481265,0.374786136,0.249732599,35.96752636,3.506533726,9.092437899,13.72782998,16.86722344,0.222622045,0.499973562
FMS_714,source_F,source,2561.09,75986.86,164301.2,7771.88,6798.83,4366.64,386.76,54295.06,43.45,41.26,110.26,77.29,34.73081178,4.574514775,12.50550636,13.31600753,69.90646841,0.375836001,0.372531798,0.251632202,28.92206783,3.189516094,7.151408718,11.69108968,13.3065828,0.223754873,0.499022303
FMS_718,source_F,source,9724.18,73232,182814.4,9100.1,16156.54,4345.24,1509.93,55612.13,88.65,63.53,143.77,147.56,39.29123317,5.194685181,14.30565881,15.22038197,70.01661547,0.378767328,0.374471748,0.246760924,32.90843511,3.784685625,8.475802059,13.82169708,15.72172938,0.224914767,0.500320318
FMS_720,source_PF,source,14047.08,87206.91,225060.6,10732.68,13529.44,5623.84,1198.99,58663.87,52.29,85.02,125.69,149.29,47.83529229,4.242747849,15.99612325,16.54934237,75.14459581,0.372824508,0.375582519,0.251592973,40.82395357,3.300099379,10.23542431,14.11565147,18.89460201,0.220562248,0.49993646
FMS_722,source_PF,source,3471.74,73329.52,259163.4,21564.8,4503.38,4487.89,718.06,31544.57,40.88,28.76,117.66,98.37,52.6842279,6.073470422,20.39871922,21.28381441,73.41929354,0.385158679,0.382227028,0.232614293,45.5622076,4.925321541,13.16127288,19.28503113,24.05396741,0.226018418,0.504670822
FMS_724,source_F,source,3490.31,60310.35,203161.6,11610.23,16090.37,3681.25,995.25,31888.58,41.66,38.35,124.43,128.89,38.02701186,4.485359693,11.27014154,12.13107294,68.23751682,0.367335592,0.365889933,0.266774475,31.79020328,3.22302646,6.805201863,11.3251092,12.46589408,0.220750487,0.494736592
FMS_832,source_F,source,2185.47,71583.51,178261.5,12188.88,12172.38,3537.76,1275.44,39035.7,35.98,25.33,142.65,116.07,36.51877827,4.534834513,11.97036767,12.80100971,69.23836785,0.371648319,0.369338815,0.259012866,30.46574043,3.214128155,7.043500847,11.57794905,13.01245199,0.222251401,0.496958521
FMS_833,source_F,source,1911.3,75683.52,178586.2,11226.5,5612.28,4017.99,470.17,41471.74,40.16,31.59,118.25,78.35,41.27587741,4.930317115,14.41682786,15.23658246,71.12109365,0.376190794,0.373920286,0.24988892,34.69642695,3.648908703,8.731321561,13.71899731,16.1711251,0.223435054,0.499695337
FMS_834,source_S,source,2912.05,112690.2,220397.1,15677.74,2320.09,3165.37,329.42,38590.95,33.08,18.97,108.19,65.07,61.75141072,7.332256781,23.2379182,24.36820585,72.4913102,0.386486205,0.381990924,0.231522871,54.88132474,6.333811983,15.93251967,23.36246478,28.26243275,0.226979586,0.504765151
FMS_835,source_PF,source,3209.83,91399.52,220281.8,15032.42,8711.83,4374.57,580.43,40512.55,57.61,30.45,131.65,91.32,47.87200894,3.570034099,14.44375794,14.8785866,76.11695494,0.366448659,0.37185062,0.261700721,40.85832521,2.771055542,9.383043498,12.42308345,17.28454295,0.217822465,0.497325197
FMS_836,source_PF,source,6268.8,81483.8,227362.3,16447.26,17210.99,4484.09,815.1,39979.7,41.93,36.2,137.64,112.68,43.55810233,2.541482029,10.42901466,10.7342626,76.30258605,0.354501962,0.363013287,0.282484751,36.79157828,1.899006543,6.746505553,8.755838589,12.43123736,0.213325451,0.491506312
FMS_837,source_S,source,528.35,114914.9,207973.3,16322.5,6001.29,1171.32,408.03,22260.56,42.1,18.91,99.62,94.28,68.18567446,5.961508261,20.57532901,21.42167532,73.84323765,0.372342131,0.373978505,0.253679363,61.82625968,5.33040435,15.1735621,20.39548546,26.23339422,0.220873188,0.499150067
FMS_838,source_PF,source,2951.38,102034.6,204465.6,15496.36,7510.11,3432.54,777.79,40046.9,36.59,33.84,144.21,75.55,47.56693956,4.866026469,16.65353895,17.34989523,73.7111582,0.376613555,0.376791434,0.24659501,40.56579424,3.785920435,10.55984699,15.28299988,19.46662593,0.222575573,0.501031941
FMS_839,source_PF,source,3913.19,102861.4,201278.8,13680.4,12062.33,4642.38,767.54,44636.8,49.76,74.69,136.79,76.22,47.22745586,4.634452977,16.65645412,17.28926081,74.45046269,0.376368949,0.377384892,0.246246159,40.24161652,3.593343158,10.52470651,14.93163369,19.46660377,0.222181585,0.501257913
FMS_840,source_S,source,2853.43,125199.6,194805.6,12897.95,3484.86,4029.79,490.02,49844.29,39.89,31.33,122.29,65.39,50.16116655,8.000678945,20.6038399,22.10271959,68.77646296,0.39314107,0.381617789,0.225241141,43.0755928,6.415311132,12.92906465,21.92381183,23.49453333,0.231491612,0.505591354
FMS_841,source_F,source,3513.21,58825.57,173332.1,8025.03,10305.51,3905,954.06,43934.2,47.74,34.31,136.86,93.2,31.71872733,3.315247585,8.293526797,8.933122067,68.132889,0.358461121,0.360367468,0.281171412,26.38505136,2.231205546,4.803552755,7.892506705,8.783676565,0.216999373,0.490847451
FMS_842,source_S,source,2265.2,125361.5,225684.3,14041.75,4050.26,3422.51,410.91,40733.39,40.96,25.32,108.76,71.14,60.32127544,7.816590814,24.6039803,25.81592312,72.3769443,0.392186638,0.385507747,0.222305615,53.36946779,6.703469002,16.47415876,24.64411829,29.45811663,0.229290785,0.507119165
FMS_843,source_PF,source,3654.83,87101.06,214882.2,13016.71,9335.4,4614.28,636.44,42829.23,46.11,28.04,140.62,85.13,39.63509789,3.0569506,10.65787864,11.08764831,73.99359889,0.359629897,0.365168074,0.275202029,33.21578698,2.214019039,6.597770556,9.296841507,12.21859821,0.215904318,0.493265798
FMS_844,source_F,source,3064.11,72704.74,191044,10221.3,9732.21,3567.53,830.14,40269.85,24.03,36.96,130.5,81.14,34.0849101,3.23138372,9.130102438,9.685204637,70.50304951,0.359339676,0.362481892,0.278178432,28.37340165,2.225475399,5.393380994,8.37411961,9.937298835,0.216760022,0.491974777
FMS_845,source_S,source,7511.72,102835,195900,8557.43,8047.5,5356.23,644.02,49927.25,49.63,31.81,103.62,57.71,58.38164391,5.015431503,21.62065494,22.19477518,76.94032942,0.380583105,0.383145952,0.236270943,51.34737937,4.212035751,14.57237707,18.83047585,26.43973055,0.222674131,0.504390951
FMS_847,source_PF,source,7786.81,93258.62,216193.3,8430.77,11009.14,5854.31,560.39,61901.8,70.09,52.52,138.12,88.91,44.27153915,4.211171378,14.49145878,15.09104946,73.79484948,0.371424754,0.373303003,0.255272243,37.45266406,3.185411963,9.065952573,13.04983766,16.78392412,0.220535276,0.498713512
FMS_849,source_F,source,7740.73,81625.03,158904,4942.03,8117.36,5766.27,1439.75,76097.96,71.42,50.69,148.44,114.46,38.85077394,6.526879035,17.15103945,18.3510809,69.16305937,0.393048031,0.382037209,0.224914759,32.5157626,4.763465865,9.794263165,16.86924611,18.28851522,0.231260739,0.505759953
