bin_lower,bin_upper,sample_count,mean_confidence,empirical_accuracy,probability_version
0.0,0.1,0,,,uncalibrated
0.1,0.2,0,,,uncalibrated
0.2,0.30000000000000004,10,0.27391739389415704,0.3,uncalibrated
0.30000000000000004,0.4,63,0.3547159445322151,0.47619047619047616,uncalibrated
0.4,0.5,126,0.4544911059867839,0.5873015873015873,uncalibrated
0.5,0.6000000000000001,199,0.5488647801926702,0.5477386934673367,uncalibrated
0.6000000000000001,0.7000000000000001,182,0.6539114644079463,0.7472527472527473,uncalibrated
0.7000000000000001,0.8,170,0.7536920855655211,0.8352941176470589,uncalibrated
0.8,0.9,181,0.8526132846871697,0.9060773480662984,uncalibrated
0.9,1.0,500,0.9673534395231175,0.994,uncalibrated
0.0,0.1,0,,,temperature_scaled
0.1,0.2,0,,,temperature_scaled
0.2,0.30000000000000004,7,0.2870909258193471,0.42857142857142855,temperature_scaled
0.30000000000000004,0.4,45,0.36144757293789714,0.4444444444444444,temperature_scaled
0.4,0.5,94,0.45944607371535817,0.574468085106383,temperature_scaled
0.5,0.6000000000000001,150,0.5523096296678975,0.56,temperature_scaled
0.6000000000000001,0.7000000000000001,157,0.6493365491542733,0.5796178343949044,temperature_scaled
0.7000000000000001,0.8,160,0.7463088222704644,0.78125,temperature_scaled
0.8,0.9,202,0.8501046988962938,0.8712871287128713,temperature_scaled
0.9,1.0,616,0.9746253495025111,0.9772727272727273,temperature_scaled
