stage,stage_epoch,global_epoch,train_loss,validation_loss,validation_roc_auc,validation_average_precision,validation_precision_at_0_5,validation_sensitivity_at_0_5,validation_specificity_at_0_5,validation_f1_at_0_5,head_learning_rate,backbone_learning_rate,epoch_seconds
head-only,1,1,0.8658626272802785,0.8601851246231897,0.8511885794404437,0.5696455410314134,0.3453416149068323,0.9297658862876255,0.5633802816901409,0.5036231884057971,0.001,,165.47670499999913
head-only,2,2,0.7813602341591275,0.7542583848415302,0.8592408276137249,0.5749802387603918,0.4060031595576619,0.8595317725752508,0.6884838442419221,0.5515021459227468,0.001,,166.47599529999934
head-only,3,3,0.7707286797631728,0.8416350814173738,0.8589249445126395,0.5688428857767118,0.3578811369509044,0.9264214046822743,0.5882352941176471,0.516309412861137,0.001,,164.19328660000065
head-only,4,4,0.7725151181773375,0.7840566052344058,0.8640067831739603,0.5930615783782761,0.38235294117647056,0.9130434782608695,0.6346313173156587,0.5389930898321816,0.0005,,163.4283099000004
head-only,5,5,0.7457654567263832,0.764935318375647,0.866339884674959,0.5965541003317804,0.3892128279883382,0.8929765886287625,0.6528583264291632,0.5421319796954315,0.0005,,155.60295430000042
layer4-and-head,1,6,0.7333898596658917,0.7124970543432045,0.876461998431668,0.626539010192892,0.42574257425742573,0.862876254180602,0.7116818558409279,0.5701657458563536,0.0001,1e-05,190.03028899999845
layer4-and-head,2,7,0.6929850796025671,0.6996273688704844,0.8815964842765031,0.6464342748241009,0.453551912568306,0.8327759197324415,0.7514498757249378,0.5872641509433962,0.0001,1e-05,191.1266617000001
layer4-and-head,3,8,0.6633685296515572,0.7010175030069997,0.8833948012291732,0.6607663741424321,0.5078651685393258,0.7558528428093646,0.8185584092792046,0.6075268817204301,0.0001,1e-05,188.31401369999912
layer4-and-head,4,9,0.6251886803683373,0.6715016607863019,0.8905492763783172,0.6756240087558273,0.44821428571428573,0.8394648829431438,0.743993371996686,0.5844004656577415,0.0001,1e-05,185.53092189999916
layer4-and-head,5,10,0.6247873986960477,0.6686316252071386,0.8918737686793593,0.6714500428843452,0.4479717813051146,0.8494983277591973,0.7406793703396851,0.5866050808314087,0.0001,1e-05,191.17015710000123
layer4-and-head,6,11,0.598977192705229,0.6559830015082442,0.8962559539808197,0.6843927505028777,0.4568345323741007,0.8494983277591973,0.7497928748964374,0.5941520467836258,0.0001,1e-05,190.20688560000053
layer4-and-head,7,12,0.5895764259725069,0.6542035988365037,0.8975070173153816,0.6943082078337657,0.49588477366255146,0.8060200668896321,0.7970173985086992,0.6140127388535032,0.0001,1e-05,191.26584659999935
layer4-and-head,8,13,0.5608241173712522,0.6472906947610862,0.9000867293075787,0.6920159552786831,0.4753787878787879,0.8394648829431438,0.7705053852526926,0.6070133010882709,0.0001,1e-05,188.88779849999992
