target,prediction,error_count,error_share
mel,nv,53,0.19202898550724637
nv,mel,52,0.18840579710144928
nv,bkl,26,0.09420289855072464
bkl,nv,23,0.08333333333333333
mel,bkl,18,0.06521739130434782
bkl,mel,18,0.06521739130434782
akiec,bcc,11,0.03985507246376811
akiec,bkl,9,0.03260869565217391
bkl,bcc,7,0.025362318840579712
nv,vasc,7,0.025362318840579712
bcc,bkl,5,0.018115942028985508
mel,akiec,5,0.018115942028985508
nv,bcc,4,0.014492753623188406
nv,df,4,0.014492753623188406
bkl,akiec,4,0.014492753623188406
bcc,mel,4,0.014492753623188406
bcc,akiec,4,0.014492753623188406
akiec,nv,4,0.014492753623188406
bcc,nv,3,0.010869565217391304
bcc,df,3,0.010869565217391304
nv,akiec,3,0.010869565217391304
df,bkl,2,0.007246376811594203
akiec,mel,2,0.007246376811594203
df,nv,2,0.007246376811594203
bcc,vasc,1,0.0036231884057971015
mel,bcc,1,0.0036231884057971015
bkl,df,1,0.0036231884057971015
