model,stage,stage_epoch,epoch,head_learning_rate,backbone_learning_rate,train_loss,train_balanced_accuracy,train_macro_f1,train_melanoma_recall,validation_loss,validation_balanced_accuracy,validation_macro_f1,validation_melanoma_recall,validation_selection_score,epoch_duration_seconds
compact_cnn,all,1,1,0.001,0.001,0.4545295339557823,0.2589107487553743,0.2501998546368645,0.27044025157232704,0.39865030996449347,0.2992735746945359,0.29559060309866936,0.2578616352201258,0.28427191273510627,241.06444079987705
compact_cnn,all,2,2,0.001,0.001,0.41238677153415376,0.33052928653260405,0.3128208137313994,0.2968553459119497,0.4468637651080018,0.2807964043258233,0.28672265093134996,0.32075471698113206,0.2969322707462846,242.86966650001705
compact_cnn,all,3,3,0.001,0.001,0.39130640125721233,0.35143104530591146,0.33328329748824675,0.32955974842767294,0.349657087517785,0.3903676584220391,0.3607139698732746,0.23270440251572327,0.3223110996660092,241.0689431000501
compact_cnn,all,4,4,0.001,0.001,0.37663364274594446,0.392633510088038,0.3672330370965552,0.29559748427672955,0.3484706270111191,0.3563841756821936,0.36140339313574266,0.11949685534591195,0.28883143179879345,240.45106399990618
compact_cnn,all,5,5,0.001,0.001,0.37042038233079555,0.40591400279744716,0.3776101232417463,0.3371069182389937,0.35377274755831367,0.3656992085330152,0.3864446604028921,0.4088050314465409,0.3931527717159867,243.76859890017658
compact_cnn,all,6,6,0.001,0.001,0.35771985189988686,0.4191658083514501,0.393303134134217,0.3672955974842767,0.3605757965491368,0.4127688534159521,0.4254891315929318,0.5408805031446541,0.46010654305844845,242.6534088999033
compact_cnn,all,7,7,0.001,0.001,0.3569870208324185,0.4333531141681118,0.40252498472509046,0.33962264150943394,0.3572910734406718,0.4262197689541745,0.3896466639947493,0.49056603773584906,0.4199224761170792,243.12056660000235
compact_cnn,all,8,8,0.0005,0.0005,0.3506876515015764,0.4346571613905987,0.40598446774087665,0.38113207547169814,0.31971157755885093,0.4341603649876963,0.42236351804106037,0.4276729559748428,0.4239563494211951,243.57261050026864
compact_cnn,all,9,9,0.0005,0.0005,0.3307939592872814,0.47245032664445546,0.4460626191781206,0.3786163522012579,0.3116395391784348,0.4668625444982223,0.45455010630961656,0.3584905660377358,0.4257322442280523,242.29498010035604
compact_cnn,all,10,10,0.00025,0.00025,0.3305728729540388,0.4525736759838762,0.42793530006310876,0.4037735849056604,0.31923615061319793,0.46147790659788274,0.40892527043482935,0.5094339622641509,0.43907787798362585,244.23655949998647
resnet18_staged,head,1,1,0.0003,0.0003,0.5358152610398486,0.2102921114725587,0.21213843139714617,0.17735849056603772,0.4236379074883628,0.2747897670018791,0.26092315320414305,0.4779874213836478,0.32604243365799446,167.3430903996341
resnet18_staged,head,2,2,0.0003,0.0003,0.43054819468649397,0.2991979362043959,0.3031120116886433,0.3283018867924528,0.36711238568479365,0.3319386319105483,0.3144735922108869,0.46540880503144655,0.35975415605705474,166.1670157997869
resnet18_staged,head,3,3,0.0003,0.0003,0.38867059660784387,0.34410944423233714,0.34026167884408537,0.3522012578616352,0.3392216127652388,0.440581975130767,0.39818859336659046,0.5283018867924528,0.4372225813943491,164.99818000011146
resnet18_staged,head,4,4,0.0003,0.0003,0.3717913193170472,0.3804678520561899,0.3771979826364726,0.39245283018867927,0.3265988466831354,0.44691080306567244,0.41609692940101933,0.5157232704402516,0.445984831712789,171.01190170040354
resnet18_staged,head,5,5,0.0003,0.0003,0.3479202522940232,0.4217850542485494,0.42334653145172435,0.39245283018867927,0.31014265872381785,0.5030924410569761,0.4489832283703436,0.4088050314465409,0.4369297692932028,166.21316319983453
resnet18_staged,layer4,1,6,0.0001,2e-05,0.31277464040671443,0.4768267638053071,0.4639790426628518,0.43522012578616354,0.25082470737137164,0.582747221543869,0.5319586839029518,0.44654088050314467,0.5063333428830096,196.08441639970988
resnet18_staged,layer4,2,7,0.0001,2e-05,0.25491894131304,0.57242083559873,0.5514305941412753,0.4729559748427673,0.23048673101238437,0.6190501154114872,0.5512185029456044,0.46540880503144655,0.525475593571357,197.1830513998866
resnet18_staged,layer4,3,8,0.0001,2e-05,0.2213251616598542,0.6183969605563028,0.5843617426927636,0.4930817610062893,0.21993600878265354,0.6146419378980787,0.5830674846061886,0.4779874213836478,0.5515434656394264,188.58207579981536
resnet18_staged,layer4,4,9,0.0001,2e-05,0.19450815199872518,0.659431983253186,0.6274160670868401,0.5647798742138365,0.2127419331899056,0.6240555530855716,0.6033389345885781,0.46540880503144655,0.5619598957214387,181.35267880000174
