source,table,csv,delimiter,row_terminator,rows,columns,fields_in_csv
Person.CountryRegion,person_countryregion,CountryRegion.csv,\t,\n,238,3,3
Sales.SalesTerritory,sales_salesterritory,SalesTerritory.csv,\t,0x0a,10,10,10
Person.StateProvince,person_stateprovince,StateProvince.csv,\t,\n,181,8,8
Person.Address,person_address,Address.csv,\t,0x0a,19614,9,9
Person.AddressType,person_addresstype,AddressType.csv,\t,0x0a,6,4,4
Person.BusinessEntityAddress,person_businessentityaddress,BusinessEntityAddress.csv,+|,&|\n,19614,5,5
Person.Person,person_person,Person.csv,+|,&|\n,19972,13,13
Person.EmailAddress,person_emailaddress,EmailAddress.csv,+|,&|\n,19972,5,5
Sales.Store,sales_store,Store.csv,+|,&|\n,701,6,6
Sales.Customer,sales_customer,Customer.csv,\t,0x0a,19820,7,7
Purchasing.ShipMethod,purchasing_shipmethod,ShipMethod.csv,\t,0x0a,5,6,6
Sales.SpecialOffer,sales_specialoffer,SpecialOffer.csv,\t,0x0a,16,11,11
Sales.SpecialOfferProduct,sales_specialofferproduct,SpecialOfferProduct.csv,\t,0x0a,538,4,4
Production.ProductCategory,production_productcategory,ProductCategory.csv,\t,0x0a,4,4,4
Production.ProductSubcategory,production_productsubcategory,ProductSubcategory.csv,\t,0x0a,37,5,5
Production.Product,production_product,Product.csv,\t,0x0a,504,25,25
Sales.SalesOrderHeader,sales_salesorderheader,SalesOrderHeader.csv,\t,0x0a,31465,26,26
Sales.SalesOrderDetail,sales_salesorderdetail,SalesOrderDetail.csv,\t,0x0a,121317,11,11
