table_name,column_order,column_name,data_type,not_null,default_value,primary_key_position
person_address,0,AddressID,INTEGER,True,,1
person_address,1,AddressLine1,TEXT,True,,0
person_address,2,AddressLine2,TEXT,False,,0
person_address,3,City,TEXT,True,,0
person_address,4,StateProvinceID,INTEGER,True,,0
person_address,5,PostalCode,TEXT,True,,0
person_address,6,SpatialLocation,TEXT,False,,0
person_address,7,rowguid,TEXT,True,,0
person_address,8,ModifiedDate,TEXT,True,,0
person_addresstype,0,AddressTypeID,INTEGER,True,,1
person_addresstype,1,Name,TEXT,True,,0
person_addresstype,2,rowguid,TEXT,True,,0
person_addresstype,3,ModifiedDate,TEXT,True,,0
person_businessentityaddress,0,BusinessEntityID,INTEGER,True,,1
person_businessentityaddress,1,AddressID,INTEGER,True,,2
person_businessentityaddress,2,AddressTypeID,INTEGER,True,,3
person_businessentityaddress,3,rowguid,TEXT,True,,0
person_businessentityaddress,4,ModifiedDate,TEXT,True,,0
person_countryregion,0,CountryRegionCode,TEXT,True,,1
person_countryregion,1,Name,TEXT,True,,0
person_countryregion,2,ModifiedDate,TEXT,True,,0
person_emailaddress,0,BusinessEntityID,INTEGER,True,,1
person_emailaddress,1,EmailAddressID,INTEGER,True,,2
person_emailaddress,2,EmailAddress,TEXT,False,,0
person_emailaddress,3,rowguid,TEXT,True,,0
person_emailaddress,4,ModifiedDate,TEXT,True,,0
person_person,0,BusinessEntityID,INTEGER,True,,1
person_person,1,PersonType,TEXT,True,,0
person_person,2,NameStyle,TEXT,True,,0
person_person,3,Title,TEXT,False,,0
person_person,4,FirstName,TEXT,True,,0
person_person,5,MiddleName,TEXT,False,,0
person_person,6,LastName,TEXT,True,,0
person_person,7,Suffix,TEXT,False,,0
person_person,8,EmailPromotion,INTEGER,True,,0
person_person,9,AdditionalContactInfo,TEXT,False,,0
person_person,10,Demographics,TEXT,False,,0
person_person,11,rowguid,TEXT,True,,0
person_person,12,ModifiedDate,TEXT,True,,0
person_stateprovince,0,StateProvinceID,INTEGER,True,,1
person_stateprovince,1,StateProvinceCode,TEXT,True,,0
person_stateprovince,2,CountryRegionCode,TEXT,True,,0
person_stateprovince,3,IsOnlyStateProvinceFlag,TEXT,True,,0
person_stateprovince,4,Name,TEXT,True,,0
person_stateprovince,5,TerritoryID,INTEGER,True,,0
person_stateprovince,6,rowguid,TEXT,True,,0
person_stateprovince,7,ModifiedDate,TEXT,True,,0
production_product,0,ProductID,INTEGER,True,,1
production_product,1,Name,TEXT,True,,0
