child_table,child_column,parent_table,parent_column,on_update,on_delete,relationship
person_address,StateProvinceID,person_stateprovince,StateProvinceID,NO ACTION,NO ACTION,person_stateprovince.StateProvinceID -> person_address.StateProvinceID
person_businessentityaddress,AddressTypeID,person_addresstype,AddressTypeID,NO ACTION,NO ACTION,person_addresstype.AddressTypeID -> person_businessentityaddress.AddressTypeID
person_businessentityaddress,AddressID,person_address,AddressID,NO ACTION,NO ACTION,person_address.AddressID -> person_businessentityaddress.AddressID
person_emailaddress,BusinessEntityID,person_person,BusinessEntityID,NO ACTION,NO ACTION,person_person.BusinessEntityID -> person_emailaddress.BusinessEntityID
person_stateprovince,TerritoryID,sales_salesterritory,TerritoryID,NO ACTION,NO ACTION,sales_salesterritory.TerritoryID -> person_stateprovince.TerritoryID
person_stateprovince,CountryRegionCode,person_countryregion,CountryRegionCode,NO ACTION,NO ACTION,person_countryregion.CountryRegionCode -> person_stateprovince.CountryRegionCode
production_product,ProductSubcategoryID,production_productsubcategory,ProductSubcategoryID,NO ACTION,NO ACTION,production_productsubcategory.ProductSubcategoryID -> production_product.ProductSubcategoryID
production_productsubcategory,ProductCategoryID,production_productcategory,ProductCategoryID,NO ACTION,NO ACTION,production_productcategory.ProductCategoryID -> production_productsubcategory.ProductCategoryID
sales_customer,TerritoryID,sales_salesterritory,TerritoryID,NO ACTION,NO ACTION,sales_salesterritory.TerritoryID -> sales_customer.TerritoryID
sales_customer,StoreID,sales_store,BusinessEntityID,NO ACTION,NO ACTION,sales_store.BusinessEntityID -> sales_customer.StoreID
sales_customer,PersonID,person_person,BusinessEntityID,NO ACTION,NO ACTION,person_person.BusinessEntityID -> sales_customer.PersonID
sales_salesorderdetail,ProductID,production_product,ProductID,NO ACTION,NO ACTION,production_product.ProductID -> sales_salesorderdetail.ProductID
sales_salesorderdetail,SpecialOfferID,sales_specialofferproduct,SpecialOfferID,NO ACTION,NO ACTION,sales_specialofferproduct.SpecialOfferID -> sales_salesorderdetail.SpecialOfferID
sales_salesorderdetail,ProductID,sales_specialofferproduct,ProductID,NO ACTION,NO ACTION,sales_specialofferproduct.ProductID -> sales_salesorderdetail.ProductID
sales_salesorderdetail,SalesOrderID,sales_salesorderheader,SalesOrderID,NO ACTION,NO ACTION,sales_salesorderheader.SalesOrderID -> sales_salesorderdetail.SalesOrderID
sales_salesorderheader,TerritoryID,sales_salesterritory,TerritoryID,NO ACTION,NO ACTION,sales_salesterritory.TerritoryID -> sales_salesorderheader.TerritoryID
sales_salesorderheader,ShipMethodID,purchasing_shipmethod,ShipMethodID,NO ACTION,NO ACTION,purchasing_shipmethod.ShipMethodID -> sales_salesorderheader.ShipMethodID
sales_salesorderheader,ShipToAddressID,person_address,AddressID,NO ACTION,NO ACTION,person_address.AddressID -> sales_salesorderheader.ShipToAddressID
sales_salesorderheader,BillToAddressID,person_address,AddressID,NO ACTION,NO ACTION,person_address.AddressID -> sales_salesorderheader.BillToAddressID
sales_salesorderheader,CustomerID,sales_customer,CustomerID,NO ACTION,NO ACTION,sales_customer.CustomerID -> sales_salesorderheader.CustomerID
sales_salesterritory,CountryRegionCode,person_countryregion,CountryRegionCode,NO ACTION,NO ACTION,person_countryregion.CountryRegionCode -> sales_salesterritory.CountryRegionCode
sales_specialofferproduct,ProductID,production_product,ProductID,NO ACTION,NO ACTION,production_product.ProductID -> sales_specialofferproduct.ProductID
sales_specialofferproduct,SpecialOfferID,sales_specialoffer,SpecialOfferID,NO ACTION,NO ACTION,sales_specialoffer.SpecialOfferID -> sales_specialofferproduct.SpecialOfferID
