table_name,index_name,is_unique,origin,partial,columns
person_businessentityaddress,sqlite_autoindex_person_businessentityaddress_1,True,pk,False,"BusinessEntityID, AddressID, AddressTypeID"
person_countryregion,sqlite_autoindex_person_countryregion_1,True,pk,False,CountryRegionCode
person_emailaddress,sqlite_autoindex_person_emailaddress_1,True,pk,False,"BusinessEntityID, EmailAddressID"
production_product,idx_product_subcategory,False,c,False,ProductSubcategoryID
sales_customer,idx_customer_person,False,c,False,PersonID
sales_customer,idx_customer_territory,False,c,False,TerritoryID
sales_salesorderdetail,idx_sod_product,False,c,False,ProductID
sales_salesorderdetail,sqlite_autoindex_sales_salesorderdetail_1,True,pk,False,"SalesOrderID, SalesOrderDetailID"
sales_salesorderheader,idx_soh_customer_orderdate,False,c,False,"CustomerID, OrderDate"
sales_specialofferproduct,sqlite_autoindex_sales_specialofferproduct_1,True,pk,False,"SpecialOfferID, ProductID"
