table_name,column_name,primary_key_position
person_address,AddressID,1
person_addresstype,AddressTypeID,1
person_businessentityaddress,BusinessEntityID,1
person_businessentityaddress,AddressID,2
person_businessentityaddress,AddressTypeID,3
person_countryregion,CountryRegionCode,1
person_emailaddress,BusinessEntityID,1
person_emailaddress,EmailAddressID,2
person_person,BusinessEntityID,1
person_stateprovince,StateProvinceID,1
production_product,ProductID,1
production_productcategory,ProductCategoryID,1
production_productsubcategory,ProductSubcategoryID,1
purchasing_shipmethod,ShipMethodID,1
sales_customer,CustomerID,1
sales_salesorderdetail,SalesOrderID,1
sales_salesorderdetail,SalesOrderDetailID,2
sales_salesorderheader,SalesOrderID,1
sales_salesterritory,TerritoryID,1
sales_specialoffer,SpecialOfferID,1
sales_specialofferproduct,SpecialOfferID,1
sales_specialofferproduct,ProductID,2
sales_store,BusinessEntityID,1
