table_name,type
person_address,table
person_addresstype,table
person_businessentityaddress,table
person_countryregion,table
person_emailaddress,table
person_person,table
person_stateprovince,table
production_product,table
production_productcategory,table
production_productsubcategory,table
purchasing_shipmethod,table
sales_customer,table
sales_salesorderdetail,table
sales_salesorderheader,table
sales_salesterritory,table
sales_specialoffer,table
sales_specialofferproduct,table
sales_store,table
