feature,type,used_as_predictor
recency,numeric,True
frequency,numeric,True
monetary,numeric,True
average_latency,numeric,True
rfm_normalized_score,numeric,True
churn_probability,numeric,True
calibration_revenue,numeric,True
calibration_cost,numeric,True
calibration_orders,numeric,True
calibration_order_lines,numeric,True
calibration_quantity,numeric,True
calibration_products,numeric,True
calibration_categories,numeric,True
profit_margin,numeric,True
customer_tenure_days,numeric,True
days_since_last_purchase,numeric,True
avg_order_value,numeric,True
avg_profit_per_order,numeric,True
avg_quantity_per_order,numeric,True
revenue_per_product,numeric,True
orders_per_month,numeric,True
quantity_per_month,numeric,True
cluster,categorical,True
segment,categorical,True
territory_name,categorical,True
