feature,importance,importance_type,importance_share
cluster_6,0.426147,model_feature_importance,0.426147
segment_Declining Frequent Buyers,0.299884,model_feature_importance,0.299884
avg_profit_per_order,0.185836,model_feature_importance,0.185836
profit_margin,0.03035,model_feature_importance,0.03035
avg_order_value,0.029407,model_feature_importance,0.029407
calibration_cost,0.010261,model_feature_importance,0.010261
monetary,0.004971,model_feature_importance,0.004971
calibration_revenue,0.004888,model_feature_importance,0.004888
rfm_normalized_score,0.003555,model_feature_importance,0.003555
revenue_per_product,0.001401,model_feature_importance,0.001401
quantity_per_month,0.001194,model_feature_importance,0.001194
churn_probability,0.000627,model_feature_importance,0.000627
calibration_quantity,0.00019,model_feature_importance,0.00019
calibration_order_lines,0.000181,model_feature_importance,0.000181
average_latency,0.00016,model_feature_importance,0.00016
calibration_products,0.000155,model_feature_importance,0.000155
customer_tenure_days,0.000147,model_feature_importance,0.000147
orders_per_month,0.000124,model_feature_importance,0.000124
avg_quantity_per_order,0.000102,model_feature_importance,0.000102
days_since_last_purchase,7.1e-05,model_feature_importance,7.1e-05
recency,5.9e-05,model_feature_importance,5.9e-05
territory_name_Canada,4.1e-05,model_feature_importance,4.1e-05
territory_name_Northwest,2.7e-05,model_feature_importance,2.7e-05
territory_name_France,2.4e-05,model_feature_importance,2.4e-05
cluster_7,2.3e-05,model_feature_importance,2.3e-05
segment_Lost Customers,2.2e-05,model_feature_importance,2.2e-05
territory_name_Southwest,1.9e-05,model_feature_importance,1.9e-05
segment_Inactive Low-Value Customers,1.8e-05,model_feature_importance,1.8e-05
frequency,1.3e-05,model_feature_importance,1.3e-05
calibration_orders,1.2e-05,model_feature_importance,1.2e-05
segment_High Value but Cooling,1.2e-05,model_feature_importance,1.2e-05
calibration_categories,1.1e-05,model_feature_importance,1.1e-05
territory_name_Southeast,1e-05,model_feature_importance,1e-05
segment_Recent Low-Value Customers,8e-06,model_feature_importance,8e-06
cluster_4,8e-06,model_feature_importance,8e-06
territory_name_Australia,7e-06,model_feature_importance,7e-06
segment_Frequent Low-Spend Customers,7e-06,model_feature_importance,7e-06
cluster_8,6e-06,model_feature_importance,6e-06
cluster_3,5e-06,model_feature_importance,5e-06
territory_name_Germany,5e-06,model_feature_importance,5e-06
territory_name_Northeast,5e-06,model_feature_importance,5e-06
cluster_1,2e-06,model_feature_importance,2e-06
territory_name_Central,2e-06,model_feature_importance,2e-06
territory_name_United Kingdom,1e-06,model_feature_importance,1e-06
cluster_2,1e-06,model_feature_importance,1e-06
segment_Inactive Minimal Buyers,1e-06,model_feature_importance,1e-06
segment_Active Minimal Buyers,0.0,model_feature_importance,0.0
cluster_0,0.0,model_feature_importance,0.0
cluster_5,0.0,model_feature_importance,0.0
segment_Champions,0.0,model_feature_importance,0.0
