order_date,revenue,orders,customers
2022-05-31,517737.4369,47,47
2022-06-30,2001278.966938,217,217
2022-07-31,1668510.498976,215,215
2022-08-31,1326138.10567,189,189
2022-09-30,2836409.613304,250,250
2022-10-31,2269438.226826,239,239
2022-11-30,1437342.53394,267,267
2022-12-31,2504196.208958,268,268
2023-01-31,2076791.6086,259,259
2023-02-28,1449883.20178,211,211
2023-03-31,2975748.238428,304,304
2023-04-30,1634600.798332,269,269
2023-05-31,3074602.813538,293,293
2023-06-30,4099354.356751,390,390
2023-07-31,3417953.869571,385,385
2023-08-31,2175637.217725,285,285
2023-09-30,3454151.940485,352,352
2023-10-31,2544091.105517,321,321
2023-11-30,1872701.976206,383,383
2023-12-31,2829404.818943,378,378
2024-01-31,2087872.462504,400,400
2024-02-29,2343260.23338,338,338
2024-03-31,3407037.411535,443,443
2024-04-30,2533057.410899,426,426
2024-05-31,3258341.130079,436,433
2024-06-30,5063798.381596,741,735
2024-07-31,4918580.187794,1755,1694
2024-08-31,3325296.097555,1785,1723
2024-09-30,4539828.995303,1796,1744
2024-10-31,4820725.329802,1971,1902
2024-11-30,3291238.2855869997,2100,2036
2024-12-31,4082853.575601,2053,1975
2025-01-31,4276427.720953,2136,2068
2025-02-28,3565879.32327,1857,1809
2025-03-31,4987901.5343039995,2304,2246
2025-04-30,5222758.742338,2279,2224
2025-05-31,1908059.49,2218,2159
2025-06-30,47491.55,905,867
