column,block,dtype,missing-count,missing-rate,unique-values,constant,zero-rate
project,management,object,0,0.0,2,False,
State,management,object,0,0.0,2,False,
Year,management,object,0,0.0,4,False,
Variety1,management,object,0,0.0,7,False,
Variety2,management,object,0,0.0,3,False,
Fumigation1,management,object,0,0.0,2,False,
Region,management,object,0,0.0,2,False,
Soil_type,management,object,0,0.0,7,False,
Rotation length,management,float64,72,0.1702127659574468,7,False,0.0
Rotation diversity,management,float64,72,0.1702127659574468,7,False,0.0
pH_1_1,soil-chemistry,float64,0,0.0,32,False,0.0
CEC,soil-chemistry,float64,0,0.0,102,False,0.0
OM_percent,soil-chemistry,float64,0,0.0,46,False,0.0
P_ppm,soil-chemistry,float64,0,0.0,231,False,0.0
K_ppm,soil-chemistry,float64,0,0.0,219,False,0.0
Mg_ppm,soil-chemistry,float64,0,0.0,171,False,0.0
Ca_ppm,soil-chemistry,float64,0,0.0,331,False,0.0
K_Sat_percent,soil-chemistry,float64,0,0.0,127,False,0.009456264775413711
Mg_Sat_percent,soil-chemistry,float64,0,0.0,198,False,0.0
Ca_Sat_percent,soil-chemistry,float64,0,0.0,263,False,0.0
logV,qpcr-abundance,float64,0,0.0,406,False,0.0
logS,qpcr-abundance,float64,0,0.0,406,False,0.0
log16S,qpcr-abundance,float64,0,0.0,374,False,0.0
logITS,qpcr-abundance,float64,0,0.0,406,False,0.0
Bac_G_Shannon,shannon-diversity,float64,0,0.0,423,False,0.0
Fun_G_Shannon,shannon-diversity,float64,0,0.0,423,False,0.0
Bac_O_Shannon,shannon-diversity,float64,0,0.0,423,False,0.0
Fun_O_Shannon,shannon-diversity,float64,0,0.0,423,False,0.0
Bac_P_Shannon,shannon-diversity,float64,0,0.0,423,False,0.0
Fun_P_Shannon,shannon-diversity,float64,0,0.0,423,False,0.0
B16S_pcoa1,pcoa-axes,float64,66,0.15602836879432624,357,False,0.0
B16S_pcoa2,pcoa-axes,float64,66,0.15602836879432624,357,False,0.0
ITS_pcoa1,pcoa-axes,float64,66,0.15602836879432624,357,False,0.0
ITS_pcoa2,pcoa-axes,float64,66,0.15602836879432624,357,False,0.0
BF_g_1_[Aquaspirillum]_arcticum_group,bacterial-taxa,float64,0,0.0,92,False,0.7848699763593381
BF_g_8_01D2Z36,bacterial-taxa,float64,0,0.0,29,False,0.933806146572104
BF_g_10_0319-6G20,bacterial-taxa,float64,0,0.0,379,False,0.10401891252955082
BF_g_11_0319-7L14,bacterial-taxa,float64,0,0.0,21,False,0.9527186761229315
BF_g_12_053A03-B-DI-P58,bacterial-taxa,float64,0,0.0,10,False,0.9787234042553191
BF_g_15_11-24,bacterial-taxa,float64,0,0.0,321,False,0.24113475177304963
BF_g_16_1174-901-12,bacterial-taxa,float64,0,0.0,32,False,0.9267139479905437
BF_g_17_1921-2,bacterial-taxa,float64,0,0.0,94,False,0.7801418439716312
BF_g_18_1921-3,bacterial-taxa,float64,0,0.0,224,False,0.4728132387706856
BF_g_19_1959-1,bacterial-taxa,float64,0,0.0,81,False,0.8108747044917257
BF_g_20_211ds20,bacterial-taxa,float64,0,0.0,11,False,0.9763593380614657
BF_g_21_27F-1492R,bacterial-taxa,float64,0,0.0,132,False,0.6903073286052009
BF_g_22_37-13,bacterial-taxa,float64,0,0.0,214,False,0.49645390070921985
BF_g_25_67-14,bacterial-taxa,float64,0,0.0,407,False,0.04018912529550828
BF_g_27_A0839,bacterial-taxa,float64,0,0.0,218,False,0.48699763593380613
BF_g_28_A21b,bacterial-taxa,float64,0,0.0,395,False,0.06855791962174941
BF_g_29_A4b,bacterial-taxa,float64,0,0.0,406,False,0.0425531914893617
BF_g_30_AAP99,bacterial-taxa,float64,0,0.0,12,False,0.9739952718676123
BF_g_31_AB1,bacterial-taxa,float64,0,0.0,27,False,0.9361702127659575
BF_g_32_Abditibacterium,bacterial-taxa,float64,0,0.0,133,False,0.6832151300236406
BF_g_33_Absconditabacteriales_(SR1),bacterial-taxa,float64,0,0.0,17,False,0.9621749408983451
BF_g_35_Acetivibrio,bacterial-taxa,float64,0,0.0,7,False,0.9858156028368794
BF_g_39_Achromobacter,bacterial-taxa,float64,0,0.0,90,False,0.789598108747045
BF_g_41_Acidibacillus,bacterial-taxa,float64,0,0.0,6,False,0.9881796690307328
BF_g_42_Acidibacter,bacterial-taxa,float64,0,0.0,420,False,0.009456264775413711
