field_group,observations,projects,seasons,field_season_labels
WI-5,17,2,4,4
WI-6,16,2,4,4
WI-4,15,2,4,4
WI-8,13,2,4,4
WI-1,12,2,3,3
WI-2,12,2,3,3
WI-26,12,2,3,3
WI-3,12,2,3,3
WI-7,11,2,3,3
WI-25,10,2,3,3
WI-10,9,1,3,3
WI-14,9,1,3,3
WI-15,9,1,3,3
WI-18,9,1,3,3
WI-12,8,1,3,3
WI-20,8,1,3,3
WI-23,8,1,3,3
WI-9,8,1,3,3
WI-19,7,1,3,3
WI-28,7,2,2,2
WI-11,6,1,2,2
WI-16,6,1,2,2
WI-21,6,1,2,2
WI-22,6,1,2,2
WI-24,6,1,2,2
WI-27,6,2,1,1
WI-30,6,1,2,2
WI-35,6,1,2,2
WI-36,6,1,2,2
WI-41,6,1,2,2
WI-43,6,1,2,2
WI-53,6,1,2,2
WI-17,5,1,2,2
WI-31,5,1,2,2
WI-32,5,1,2,2
WI-34,5,1,2,2
WI-52,5,1,2,2
WI-40,4,1,2,2
MN-11,3,1,1,1
MN-12,3,1,1,1
MN-15,3,1,1,1
MN-16,3,1,1,1
MN-17,3,1,1,1
MN-18,3,1,1,1
MN-19,3,1,1,1
MN-2,3,1,1,1
MN-20,3,1,1,1
MN-22,3,1,1,1
MN-23,3,1,1,1
MN-24,3,1,1,1
MN-26,3,1,1,1
MN-27,3,1,1,1
MN-29,3,1,1,1
MN-3,3,1,1,1
MN-4,3,1,1,1
WI-13,3,1,1,1
WI-29,3,1,1,1
WI-33,3,1,1,1
WI-39,3,1,1,1
WI-44,3,1,1,1
WI-45,3,1,1,1
WI-46,3,1,1,1
WI-48,3,1,1,1
WI-50,3,1,1,1
WI-51,3,1,1,1
WI-55,3,1,1,1
WI-56,3,1,1,1
WI-58,3,1,1,1
WI-60,3,1,1,1
WI-61,3,1,1,1
WI-62,3,1,1,1
MN-13,2,1,1,1
MN-21,2,1,1,1
MN-25,2,1,1,1
WI-42,2,1,1,1
WI-59,2,1,1,1
WI-47,1,1,1,1
