feature-set,model,outer-fold,validation-observations,validation-groups,mae,rmse,r2
conventional,elastic-net,1,85,15,1060.4017641300943,1383.8123224624233,0.2534258548770642
conventional,elastic-net,2,85,16,798.1684267782975,1100.4857338925844,0.26137440810968
conventional,elastic-net,3,84,15,1079.836760261984,1517.8694086888222,0.1466255812066675
conventional,elastic-net,4,85,16,1061.870613093339,1447.237278135856,0.2447722291298045
conventional,elastic-net,5,84,15,1073.8792784252798,1389.2949498590208,0.2764485613914965
conventional,gradient-boosting,1,85,15,1044.0143219147155,1350.5152244219985,0.2889215332976558
conventional,gradient-boosting,2,85,16,811.6787222755421,1167.2648294740966,0.1690128323942101
conventional,gradient-boosting,3,84,15,1105.5397776110865,1526.258123276972,0.1371669331751296
conventional,gradient-boosting,4,85,16,1038.636480488079,1436.0624258448952,0.2563901937273212
conventional,gradient-boosting,5,84,15,1103.0328909311456,1390.1368982973006,0.2755713141271625
conventional,naive-mean,1,85,15,1299.7631859432647,1607.8111476282124,-0.0078331274324314
conventional,naive-mean,2,85,16,992.3417274624436,1280.881048823395,-0.0006290736829595
conventional,naive-mean,3,84,15,1202.5940049113292,1658.63977773615,-0.019001812696608
conventional,naive-mean,4,85,16,1338.141697274382,1671.669917163916,-0.0076263690634588
conventional,naive-mean,5,84,15,1293.4302611190476,1633.5677674210856,-0.0003565231682332
conventional-plus-summaries,elastic-net,1,85,15,1115.349600702214,1408.221700543689,0.2268555841792737
conventional-plus-summaries,elastic-net,2,85,16,884.3647110104157,1194.419909714324,0.1298991656865524
conventional-plus-summaries,elastic-net,3,84,15,1050.8011362249056,1499.5418646054784,0.167109336783651
conventional-plus-summaries,elastic-net,4,85,16,1107.6184709090105,1474.788520930902,0.2157437882741905
conventional-plus-summaries,elastic-net,5,84,15,1132.56784248305,1453.8506436594514,0.2076444880475135
conventional-plus-summaries,gradient-boosting,1,85,15,1043.354549665197,1370.879115728267,0.2673157106896051
conventional-plus-summaries,gradient-boosting,2,85,16,934.7316266626228,1281.3140005044877,-0.0013056349564828
conventional-plus-summaries,gradient-boosting,3,84,15,1087.34282857952,1511.181016831538,0.1541296881781177
conventional-plus-summaries,gradient-boosting,4,85,16,1133.4707428810707,1498.9009281004128,0.1898893771410302
conventional-plus-summaries,gradient-boosting,5,84,15,1155.1883971462648,1441.0952219571973,0.2214870273577456
conventional-plus-summaries,naive-mean,1,85,15,1299.7631859432647,1607.8111476282124,-0.0078331274324314
conventional-plus-summaries,naive-mean,2,85,16,992.3417274624436,1280.881048823395,-0.0006290736829595
conventional-plus-summaries,naive-mean,3,84,15,1202.5940049113292,1658.63977773615,-0.019001812696608
conventional-plus-summaries,naive-mean,4,85,16,1338.141697274382,1671.669917163916,-0.0076263690634588
conventional-plus-summaries,naive-mean,5,84,15,1293.4302611190476,1633.5677674210856,-0.0003565231682332
conventional-plus-summaries,random-forest,1,85,15,1070.541984247419,1386.660314767372,0.2503496784823409
conventional-plus-summaries,random-forest,2,85,16,751.2776221314991,1077.254407121275,0.2922301211560154
conventional-plus-summaries,random-forest,3,84,15,1056.2059215885397,1476.4101615779734,0.1926072323221923
conventional-plus-summaries,random-forest,4,85,16,1111.9779455023852,1493.6812079679676,0.1955217547985238
conventional-plus-summaries,random-forest,5,84,15,1108.5733310470598,1400.708959156696,0.2645107824925615
conventional-plus-taxa,elastic-net,1,85,15,1230.7014334474218,1506.379334669808,0.1153178660096138
conventional-plus-taxa,elastic-net,2,85,16,952.0928743743108,1252.5528593018976,0.0431416689717947
conventional-plus-taxa,elastic-net,3,84,15,1142.9699187221877,1519.1463839693065,0.1451890986912432
conventional-plus-taxa,elastic-net,4,85,16,1191.7659074942635,1543.245040219316,0.1412470345450531
conventional-plus-taxa,elastic-net,5,84,15,1249.0604916019226,1543.403627070053,0.1070245272748772
conventional-plus-taxa,gradient-boosting,1,85,15,1107.7166519484476,1456.2567870443609,0.1732113931161104
conventional-plus-taxa,gradient-boosting,2,85,16,896.8910847889417,1238.26600124976,0.064845399689984
conventional-plus-taxa,gradient-boosting,3,84,15,1046.1989106047374,1508.7791483727456,0.1568164009330204
conventional-plus-taxa,gradient-boosting,4,85,16,1123.084140685099,1476.5164226267232,0.2139050005903984
conventional-plus-taxa,gradient-boosting,5,84,15,1092.7172957900973,1410.872425699273,0.2537987219551587
conventional-plus-taxa,naive-mean,1,85,15,1299.7631859432647,1607.8111476282124,-0.0078331274324314
conventional-plus-taxa,naive-mean,2,85,16,992.3417274624436,1280.881048823395,-0.0006290736829595
conventional-plus-taxa,naive-mean,3,84,15,1202.5940049113292,1658.63977773615,-0.019001812696608
conventional-plus-taxa,naive-mean,4,85,16,1338.141697274382,1671.669917163916,-0.0076263690634588
conventional-plus-taxa,naive-mean,5,84,15,1293.4302611190476,1633.5677674210856,-0.0003565231682332
conventional-plus-taxa,random-forest,1,85,15,1101.3974775479114,1405.922206939673,0.2293784669259169
conventional-plus-taxa,random-forest,2,85,16,886.0587097585214,1223.273772990984,0.0873529671493545
conventional-plus-taxa,random-forest,3,84,15,1052.9504636656166,1470.028912878375,0.1995714756992253
conventional-plus-taxa,random-forest,4,85,16,1146.3095723869062,1509.6955600208169,0.1781790169774246
conventional-plus-taxa,random-forest,5,84,15,1129.769939526527,1409.0713671754113,0.255702642298853
conventional,random-forest,1,85,15,1062.61335891961,1395.1206260902634,0.2411742188194139
conventional,random-forest,2,85,16,728.1655108324301,1052.8177692649929,0.3239762876332763
conventional,random-forest,3,84,15,1083.873113404608,1482.3186457855102,0.186132049381455
conventional,random-forest,4,85,16,1101.657319957451,1481.2546446112704,0.2088516616337042
conventional,random-forest,5,84,15,1081.7148366184963,1383.756002151462,0.2822064811947398
integrated,elastic-net,1,85,15,1227.303950921596,1502.311905097749,0.1200889407709313
integrated,elastic-net,2,85,16,940.8106244164022,1238.949157656535,0.0638132578305626
integrated,elastic-net,3,84,15,1136.9833552188352,1517.8759972306807,0.1466181727889877
integrated,elastic-net,4,85,16,1195.1177614237615,1547.3974451393196,0.1366195291123852
integrated,elastic-net,5,84,15,1256.123498479851,1548.2644076913857,0.101391013328657
integrated,gradient-boosting,1,85,15,1109.313577955705,1460.0468722760593,0.1689021571310134
integrated,gradient-boosting,2,85,16,896.5326157460706,1238.1913105229864,0.0649582111054913
integrated,gradient-boosting,3,84,15,1048.13193254471,1509.491188557681,0.1560203635862986
integrated,gradient-boosting,4,85,16,1129.4243447545628,1484.5811817326928,0.205294218625551
integrated,gradient-boosting,5,84,15,1096.3572210646803,1409.3668446125353,0.2553904563593854
integrated,naive-mean,1,85,15,1299.7631859432647,1607.8111476282124,-0.0078331274324314
integrated,naive-mean,2,85,16,992.3417274624436,1280.881048823395,-0.0006290736829595
integrated,naive-mean,3,84,15,1202.5940049113292,1658.63977773615,-0.019001812696608
integrated,naive-mean,4,85,16,1338.141697274382,1671.669917163916,-0.0076263690634588
integrated,naive-mean,5,84,15,1293.4302611190476,1633.5677674210856,-0.0003565231682332
integrated,random-forest,1,85,15,1106.058406199189,1401.6149472319064,0.2340930699380157
integrated,random-forest,2,85,16,892.717010296641,1216.6868232641932,0.0971551472712949
integrated,random-forest,3,84,15,1065.8185489346877,1497.378939533908,0.1695103112690855
integrated,random-forest,4,85,16,1149.552664540842,1519.801436083535,0.167139680671528
integrated,random-forest,5,84,15,1142.5002558989668,1424.74978022934,0.2390472434947131
microbial-summaries,elastic-net,1,85,15,1231.522650353077,1524.6474848222992,0.0937303381891365
microbial-summaries,elastic-net,2,85,16,927.3683876608374,1238.4391165974116,0.064583903484746
microbial-summaries,elastic-net,3,84,15,1132.529950003349,1578.1132514095316,0.0775408631898542
microbial-summaries,elastic-net,4,85,16,1273.2851068500258,1611.6080076429787,0.0634794678023084
microbial-summaries,elastic-net,5,84,15,1250.8358348191582,1576.6771220978424,0.0681070435490992
microbial-summaries,gradient-boosting,1,85,15,1236.6051365362514,1525.3197292670711,0.0929309808780839
microbial-summaries,gradient-boosting,2,85,16,984.514932159372,1325.8572929661393,-0.0721340295136887
microbial-summaries,gradient-boosting,3,84,15,1143.1080445276175,1611.073991411352,0.0386051821719358
microbial-summaries,gradient-boosting,4,85,16,1343.8953213491918,1678.0490779596416,-0.0153313291854493
microbial-summaries,gradient-boosting,5,84,15,1315.1736281841586,1627.095360579168,0.007554856703119
microbial-summaries,naive-mean,1,85,15,1299.7631859432647,1607.8111476282124,-0.0078331274324314
microbial-summaries,naive-mean,2,85,16,992.3417274624436,1280.881048823395,-0.0006290736829595
microbial-summaries,naive-mean,3,84,15,1202.5940049113292,1658.63977773615,-0.019001812696608
microbial-summaries,naive-mean,4,85,16,1338.141697274382,1671.669917163916,-0.0076263690634588
microbial-summaries,naive-mean,5,84,15,1293.4302611190476,1633.5677674210856,-0.0003565231682332
microbial-summaries,random-forest,1,85,15,1200.1807271144812,1510.7118026226417,0.1102217143194073
microbial-summaries,random-forest,2,85,16,927.13804239095,1244.5684222082875,0.0553018336556589
microbial-summaries,random-forest,3,84,15,1114.43558209425,1561.4196236230273,0.0969535909698401
microbial-summaries,random-forest,4,85,16,1232.4649321351496,1592.5752847831277,0.0854690382285482
microbial-summaries,random-forest,5,84,15,1263.0772804290918,1559.240348971632,0.0886050317522278
taxonomic-composition,elastic-net,1,85,15,1233.1262092143402,1511.5201564788658,0.1092692518611699
taxonomic-composition,elastic-net,2,85,16,1009.2097444432428,1296.7798391578724,-0.025623627071736
taxonomic-composition,elastic-net,3,84,15,1118.8123834713049,1516.903359359371,0.1477114973397756
taxonomic-composition,elastic-net,4,85,16,1215.7158103387103,1578.520899087507,0.1015391816511331
taxonomic-composition,elastic-net,5,84,15,1239.6245178547886,1549.9597846601966,0.0994219503033302
taxonomic-composition,gradient-boosting,1,85,15,1241.427767072358,1582.6530428137546,0.0234600999058594
taxonomic-composition,gradient-boosting,2,85,16,1018.5155429610908,1332.6579997948566,-0.0831608101068748
taxonomic-composition,gradient-boosting,3,84,15,1038.9800760771757,1495.3542238759226,0.17175472460881
taxonomic-composition,gradient-boosting,4,85,16,1233.7263712335418,1576.9625109279198,0.1033123093373273
taxonomic-composition,gradient-boosting,5,84,15,1235.9297272581855,1566.6215275014492,0.0799558307320611
taxonomic-composition,naive-mean,1,85,15,1299.7631859432647,1607.8111476282124,-0.0078331274324314
taxonomic-composition,naive-mean,2,85,16,992.3417274624436,1280.881048823395,-0.0006290736829595
taxonomic-composition,naive-mean,3,84,15,1202.5940049113292,1658.63977773615,-0.019001812696608
taxonomic-composition,naive-mean,4,85,16,1338.141697274382,1671.669917163916,-0.0076263690634588
taxonomic-composition,naive-mean,5,84,15,1293.4302611190476,1633.5677674210856,-0.0003565231682332
taxonomic-composition,random-forest,1,85,15,1218.3149984318682,1540.1104076514432,0.075254407723074
taxonomic-composition,random-forest,2,85,16,953.8208858116208,1262.083522793782,0.0285248170418302
taxonomic-composition,random-forest,3,84,15,1079.080784077197,1524.3244020785276,0.139351913043962
taxonomic-composition,random-forest,4,85,16,1172.2890695831306,1522.7728229176075,0.1638798214037713
taxonomic-composition,random-forest,5,84,15,1264.752066352857,1560.2229382939988,0.0874559989776758
