feature-set,model,folds,mae-improvement-mean,mae-improvement-std,rmse-improvement-mean,rmse-improvement-std,r2-improvement-mean,r2-improvement-std,mae-better-folds
integrated,naive-mean,5,0.0,0.0,0.0,0.0,0.0,0.0,0
conventional-plus-summaries,naive-mean,5,0.0,0.0,0.0,0.0,0.0,0.0,0
taxonomic-composition,naive-mean,5,0.0,0.0,0.0,0.0,0.0,0.0,0
conventional-plus-taxa,naive-mean,5,0.0,0.0,0.0,0.0,0.0,0.0,0
microbial-summaries,naive-mean,5,0.0,0.0,0.0,0.0,0.0,0.0,0
conventional-plus-summaries,random-forest,5,-8.110532956861515,21.572532313469164,-7.889472537557049,14.441603672246936,-0.009424225882191061,0.017180513245709843,1
conventional-plus-taxa,gradient-boosting,5,-32.74117811935086,64.6497625025739,-44.09065673551995,47.1023272207798,-0.05289717808736146,0.05682048996165605,2
integrated,gradient-boosting,5,-35.37149976903195,64.7902821387242,-46.2879792773384,48.26969306867258,-0.05529947998274791,0.05769612197814898,2
conventional-plus-summaries,elastic-net,5,-43.30898372812025,43.15960296004823,-38.42458928302758,42.71887542852189,-0.04707885434870631,0.05680198313221596,1
conventional-plus-summaries,gradient-boosting,5,-50.23719034282133,60.34989481359622,-46.62655636132799,48.28164751223506,-0.05910932766229269,0.07007287732623381,2
conventional-plus-taxa,random-forest,5,-51.69240463057749,67.70020951193067,-44.54482642035227,72.20025356870705,-0.05843122592236298,0.10109720264651105,1
integrated,random-forest,5,-59.724549227546255,66.03854506070668,-52.99284768787675,63.73223469529313,-0.0670790492035904,0.09066265701325744,1
taxonomic-composition,random-forest,5,-126.04673290481567,92.51877156597851,-122.84928116637207,77.43268880908472,-0.1495747480944552,0.10617971409889773,1
taxonomic-composition,gradient-boosting,5,-133.1354582763566,115.41242991239483,-136.802360719728,99.52781940731766,-0.16634813044885927,0.12103448622295011,1
microbial-summaries,random-forest,5,-135.85448488626554,65.51655460510489,-134.6495588610435,47.225840625065715,-0.1611578979473814,0.0709449975864302,0
integrated,elastic-net,5,-136.43646955429023,48.37891321968323,-103.21984395539266,61.73722032815847,-0.12282314417663778,0.07701244825593848,0
conventional-plus-taxa,elastic-net,5,-138.48675659022234,45.68600671331393,-105.20551043833488,62.79866920687766,-0.12614528784442613,0.0814865165626308,0
microbial-summaries,elastic-net,5,-148.2770173994906,60.89109420851338,-138.15705790627135,47.926900816383124,-0.16304100369991367,0.055595116587405985,0
taxonomic-composition,elastic-net,5,-148.46636452667843,64.84557237418288,-122.99686914102122,74.58054213696846,-0.15006567612620797,0.10296330508029555,0
microbial-summaries,gradient-boosting,5,-184.0789739072045,96.35385456117139,-179.43159017362186,64.47924232943504,-0.2150874291334957,0.07181733950526584,0
