variable,count,mean,std,min,5%,50%,95%,max,information-type
logV,423.0,0.08092589448463357,0.9555126742515418,-3.209527214,-1.4166237307,0.077725926,1.6661889798999991,2.959440106,qpcr-abundance
logS,423.0,0.15022208371394802,0.9558407557941095,-2.885076724,-1.3390022529999999,0.194971006,1.6993551001999996,3.470650325,qpcr-abundance
log16S,423.0,0.0011493586099291016,1.0300402989491706,-2.973336199,-1.541513901,-0.05309975,1.8857316389,3.032523994,qpcr-abundance
logITS,423.0,-0.01539091343735224,0.9816219808018795,-2.850112231,-1.5927358455999998,-0.004107915,1.615982297499999,4.22285851,qpcr-abundance
Bac_G_Shannon,423.0,-0.002512693820330945,0.9547207908780031,-4.00003955,-1.9702935833,0.146946819,1.2356368133999998,2.01317992,shannon-diversity
Fun_G_Shannon,423.0,0.07037375824349881,0.9150948479109571,-6.69624951,-1.3242237974,0.224644591,1.1951409696999995,1.862812598,shannon-diversity
Bac_O_Shannon,423.0,0.05573158910165484,0.9653409365458061,-3.409476137,-1.8254900625,0.134142962,1.4861377245999994,2.044148759,shannon-diversity
Fun_O_Shannon,423.0,0.03864017670449174,0.9596077942495275,-5.715421939,-1.7166904311,0.24065399,1.1533300737,1.525698516,shannon-diversity
Bac_P_Shannon,423.0,-0.0033190320945626303,1.0400800536126058,-3.365588531,-2.2424169649,0.080899353,1.4360508331999997,1.964889563,shannon-diversity
Fun_P_Shannon,423.0,0.017578277706855786,0.974418751507108,-3.729764792,-1.6884666276,0.253759673,1.2519749076999998,2.175061963,shannon-diversity
