feature,outer-fold,mae-increase
project,1,81.5641285023008
State,1,68.62969700734925
Year,1,132.35375146551095
Variety1,1,144.45230167878404
Variety2,1,163.95014206539162
Fumigation1,1,83.56113354580366
Region,1,77.00609481673186
Soil_type,1,83.75828698785567
Rotation length,1,79.28946629498564
Rotation diversity,1,86.32064510309942
pH_1_1,1,94.03088339877154
CEC,1,83.09949912463962
OM_percent,1,68.46112537933864
P_ppm,1,81.9132529660737
K_ppm,1,81.8071416072592
Mg_ppm,1,82.47627824861793
Ca_ppm,1,97.0033954650421
K_Sat_percent,1,99.16094190747499
Mg_Sat_percent,1,87.50935198517232
Ca_Sat_percent,1,77.46373665762908
project,2,7.124101001652912
State,2,7.53317125201504
Year,2,120.87093788031538
Variety1,2,61.72205434580974
Variety2,2,77.40500451796306
Fumigation1,2,-3.037878214565262
Region,2,5.936302528520423
Soil_type,2,0.9560881799238132
Rotation length,2,3.616818021774293
Rotation diversity,2,2.191028151518367
pH_1_1,2,-13.402066075068387
CEC,2,-9.299067088524088
OM_percent,2,-1.698404575288191
P_ppm,2,-17.72635810578972
K_ppm,2,3.392756901071425
Mg_ppm,2,1.0380616440966606
Ca_ppm,2,0.6935759270409563
K_Sat_percent,2,-4.287653219609183
Mg_Sat_percent,2,3.0157402865785796
Ca_Sat_percent,2,1.443511816743785
project,3,70.25168055684621
State,3,66.6404751179477
Year,3,113.13654552016278
Variety1,3,76.79378530437502
Variety2,3,84.52197755697912
Fumigation1,3,75.53272348140408
Region,3,73.17268356218315
Soil_type,3,71.13886319212365
Rotation length,3,71.65332021781009
Rotation diversity,3,68.03371740344237
pH_1_1,3,84.27497342231345
CEC,3,64.11521888325474
OM_percent,3,76.92808670857463
P_ppm,3,80.31573108745533
K_ppm,3,60.1249752415943
Mg_ppm,3,73.8547700881547
Ca_ppm,3,67.21056471718016
K_Sat_percent,3,64.44383889836271
Mg_Sat_percent,3,78.72876081009312
Ca_Sat_percent,3,71.21379318768444
project,4,-53.06645389701025
State,4,-79.119208736011
Year,4,26.412234345733395
Variety1,4,-68.08282210261561
Variety2,4,-36.483564642699456
Fumigation1,4,-47.55909347319052
Region,4,-63.87849205156931
Soil_type,4,-57.035600960106876
Rotation length,4,-63.018994349226794
Rotation diversity,4,-52.34188248769751
pH_1_1,4,-73.43924374701444
CEC,4,-63.59623926922436
OM_percent,4,-59.9500727096452
P_ppm,4,-84.14791109839318
K_ppm,4,-74.56913209686645
Mg_ppm,4,-61.18649165789029
Ca_ppm,4,-59.83042125308102
K_Sat_percent,4,-68.15913546876433
Mg_Sat_percent,4,-69.68285519757312
Ca_Sat_percent,4,-73.80974930815266
project,5,-91.6766981269872
State,5,-89.63098752216396
Year,5,11.50683184102886
Variety1,5,-26.47739852908753
Variety2,5,-0.5390737647999231
Fumigation1,5,-88.18802089251581
Region,5,-83.17831047195686
Soil_type,5,-96.27906397955815
Rotation length,5,-75.41483199711539
Rotation diversity,5,-99.63176062381733
pH_1_1,5,-90.95942982336098
CEC,5,-92.54597522600879
OM_percent,5,-95.41741750721197
P_ppm,5,-112.96341856968772
K_ppm,5,-92.9285956067607
Mg_ppm,5,-84.5586237102231
Ca_ppm,5,-103.56985749497642
K_Sat_percent,5,-70.48421451836558
Mg_Sat_percent,5,-71.24097808146004
Ca_Sat_percent,5,-87.95984488649583
