feature-set,model,pipeline-steps,uses-feature-screen,constructed
conventional,naive-mean,2,False,True
conventional,elastic-net,2,False,True
conventional,random-forest,2,False,True
conventional,gradient-boosting,2,False,True
microbial-summaries,naive-mean,2,False,True
microbial-summaries,elastic-net,2,False,True
microbial-summaries,random-forest,2,False,True
microbial-summaries,gradient-boosting,2,False,True
conventional-plus-summaries,naive-mean,2,False,True
conventional-plus-summaries,elastic-net,2,False,True
conventional-plus-summaries,random-forest,2,False,True
conventional-plus-summaries,gradient-boosting,2,False,True
taxonomic-composition,naive-mean,3,True,True
taxonomic-composition,elastic-net,3,True,True
taxonomic-composition,random-forest,3,True,True
taxonomic-composition,gradient-boosting,3,True,True
conventional-plus-taxa,naive-mean,3,True,True
conventional-plus-taxa,elastic-net,3,True,True
conventional-plus-taxa,random-forest,3,True,True
conventional-plus-taxa,gradient-boosting,3,True,True
integrated,naive-mean,3,True,True
integrated,elastic-net,3,True,True
integrated,random-forest,3,True,True
integrated,gradient-boosting,3,True,True
