variable,pH_1_1,CEC,OM_percent,P_ppm,K_ppm,Mg_ppm,Ca_ppm,K_Sat_percent,Mg_Sat_percent,Ca_Sat_percent
pH_1_1,1.0,-0.09518075315782361,-0.15411183172489606,-0.42953030226893507,0.043323906715177454,0.6058693048546928,0.36307823784283944,0.09331278744578231,0.7926081022195762,0.8309288978922997
CEC,-0.09518075315782361,1.0,0.7581736850780615,-0.09813079784389633,0.45485275574500916,0.5486756149942286,0.8222211468167301,-0.10011543505571638,-0.2926400702036625,-0.029351170450082422
OM_percent,-0.15411183172489606,0.7581736850780615,1.0,-0.12853600476948765,0.25742661218076784,0.425241305540707,0.6812872303292316,-0.0783568005300101,-0.2632198514602698,0.005115450352143986
P_ppm,-0.42953030226893507,-0.09813079784389633,-0.12853600476948765,1.0,0.03212252277941372,-0.35743319380686417,-0.2955885306879969,0.06373264649731666,-0.33514705555676266,-0.42173229415827873
K_ppm,0.043323906715177454,0.45485275574500916,0.25742661218076784,0.03212252277941372,1.0,0.19747296395731972,0.3096153597162416,0.7781192692488454,-0.18197785676552225,-0.12615229208666545
Mg_ppm,0.6058693048546928,0.5486756149942286,0.425241305540707,-0.35743319380686417,0.19747296395731972,1.0,0.7382462348028451,-0.0980529724542566,0.5912202823769012,0.48049328148225356
Ca_ppm,0.36307823784283944,0.8222211468167301,0.6812872303292316,-0.2955885306879969,0.3096153597162416,0.7382462348028451,1.0,-0.15033638107994618,0.04129261873500113,0.5105856585273534
K_Sat_percent,0.09331278744578231,-0.10011543505571638,-0.0783568005300101,0.06373264649731666,0.7781192692488454,-0.0980529724542566,-0.15033638107994618,1.0,-0.030258923602132528,-0.14799427268325185
Mg_Sat_percent,0.7926081022195762,-0.2926400702036625,-0.2632198514602698,-0.33514705555676266,-0.18197785676552225,0.5912202823769012,0.04129261873500113,-0.030258923602132528,1.0,0.5627854124074395
Ca_Sat_percent,0.8309288978922997,-0.029351170450082422,0.005115450352143986,-0.42173229415827873,-0.12615229208666545,0.48049328148225356,0.5105856585273534,-0.14799427268325185,0.5627854124074395,1.0
