feature-set,model,outer-fold,inner-mae,best-parameters
conventional,elastic-net,1,1089.2522031073963,"{'regressor__alpha': 1.0, 'regressor__l1_ratio': 0.9}"
conventional,elastic-net,2,1127.3940346755994,"{'regressor__alpha': 0.1, 'regressor__l1_ratio': 0.1}"
conventional,elastic-net,3,994.1651495999772,"{'regressor__alpha': 0.1, 'regressor__l1_ratio': 0.1}"
conventional,elastic-net,4,1056.4703947705846,"{'regressor__alpha': 1.0, 'regressor__l1_ratio': 0.9}"
conventional,elastic-net,5,1041.3645839511407,"{'regressor__alpha': 1.0, 'regressor__l1_ratio': 0.9}"
conventional,gradient-boosting,1,1066.5866442083675,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 2, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
conventional,gradient-boosting,2,1084.836864975013,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 1, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 300}"
conventional,gradient-boosting,3,977.5456166703348,"{'regressor__learning_rate': 0.05, 'regressor__max_depth': 1, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
conventional,gradient-boosting,4,997.0616076960468,"{'regressor__learning_rate': 0.05, 'regressor__max_depth': 1, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 300}"
conventional,gradient-boosting,5,1049.2315344991955,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 2, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
conventional,naive-mean,1,,{}
conventional,naive-mean,2,,{}
conventional,naive-mean,3,,{}
conventional,naive-mean,4,,{}
conventional,naive-mean,5,,{}
conventional-plus-summaries,elastic-net,1,1113.9312253304868,"{'regressor__alpha': 1.0, 'regressor__l1_ratio': 0.5}"
conventional-plus-summaries,elastic-net,2,1146.638413038565,"{'regressor__alpha': 1.0, 'regressor__l1_ratio': 0.9}"
conventional-plus-summaries,elastic-net,3,1050.3967981938358,"{'regressor__alpha': 1.0, 'regressor__l1_ratio': 0.9}"
conventional-plus-summaries,elastic-net,4,1061.5425391493948,"{'regressor__alpha': 1.0, 'regressor__l1_ratio': 0.9}"
conventional-plus-summaries,elastic-net,5,1063.9107405365764,"{'regressor__alpha': 1.0, 'regressor__l1_ratio': 0.5}"
conventional-plus-summaries,gradient-boosting,1,1078.3259643976362,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 2, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
conventional-plus-summaries,gradient-boosting,2,1084.193743265247,"{'regressor__learning_rate': 0.05, 'regressor__max_depth': 2, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
conventional-plus-summaries,gradient-boosting,3,1016.1569992434175,"{'regressor__learning_rate': 0.05, 'regressor__max_depth': 1, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
conventional-plus-summaries,gradient-boosting,4,1022.384608419612,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 2, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
