model,mixture_type,sample,source_label,q025,q25,median,q75,q975,true_proportion,p50_hit,p95_hit,w50,w95,e50,e95,ae50,ae95,crps
BMM,Laboratory,mel1,Cropland,0.0,6.423897871976614e-18,0.04870761669045123,0.2523530569140996,0.6499317747529677,0.0,False,True,0.2523530569140996,0.6499317747529677,6.423897871976614e-18,0.0,6.423897871976614e-18,0.0,0.049190397913624256
BMM,Laboratory,mel1,Decontaminated,0.0,0.04878703158958149,0.2569182206050007,0.4329147271228214,0.8112952842191895,0.0,False,True,0.38412769553323994,0.8112952842191895,0.04878703158958149,0.0,0.04878703158958149,0.0,0.145910622636874
BMM,Laboratory,mel1,Forest,0.0,0.0,3.371868756429919e-17,0.09347848348979097,0.4603883129682087,0.0,True,True,0.09347848348979097,0.4603883129682087,0.0,0.0,0.0,0.0,0.014287487013200248
BMM,Laboratory,mel1,Subsurface,4.185901687402255e-17,0.33065010623071944,0.5117014557976955,0.6799518542888006,0.968417486503798,1.0,False,False,0.3493017480580811,0.968417486503798,-0.32004814571119944,-0.031582513496202,0.32004814571119944,0.031582513496202,0.3571421033646307
BMM,Laboratory,mel10,Cropland,0.0,1.6263032587282567e-17,0.09072141680922537,0.29778297524071334,0.7643225774187103,0.0,False,True,0.29778297524071334,0.7643225774187103,1.6263032587282567e-17,0.0,1.6263032587282567e-17,0.0,0.06645361821442486
BMM,Laboratory,mel10,Decontaminated,0.0,0.35166725249096004,0.537060640512657,0.6930350605240616,0.967160457128382,0.625,True,True,0.34136780803310157,0.967160457128382,0.0,0.0,0.0,0.0,0.07505489036505192
BMM,Laboratory,mel10,Forest,0.0,0.0,5.2909066017292616e-17,0.10086045728718812,0.3955800351586399,0.0,True,True,0.10086045728718812,0.3955800351586399,0.0,0.0,0.0,0.0,0.015846338156502403
BMM,Laboratory,mel10,Subsurface,0.0,0.10020523874907304,0.23026544333526422,0.36460338498371897,0.6529541085838896,0.375,False,True,0.2643981462346459,0.6529541085838896,-0.01039661501628103,0.0,0.01039661501628103,0.0,0.08614258604906325
BMM,Laboratory,mel12,Cropland,0.0,2.168404344971009e-17,0.09192781480396481,0.3089444003640624,0.8303911462974177,0.0,False,True,0.3089444003640624,0.8303911462974177,2.168404344971009e-17,0.0,2.168404344971009e-17,0.0,0.06769117749268834
BMM,Laboratory,mel12,Decontaminated,0.0,0.4842822744029817,0.6712744657127492,0.8154406613270071,0.9999999999999999,0.875,False,True,0.3311583869240254,0.9999999999999999,-0.0595593386729929,0.0,0.0595593386729929,0.0,0.13189926629621423
BMM,Laboratory,mel12,Forest,0.0,0.0,3.8163916471489756e-17,0.07710375094651396,0.365146784139122,0.0,True,True,0.07710375094651396,0.365146784139122,0.0,0.0,0.0,0.0,0.01182534960261903
BMM,Laboratory,mel12,Subsurface,0.0,5.551115123125783e-17,0.09501033368599635,0.22306599905707722,0.5116472708995972,0.125,True,True,0.22306599905707716,0.5116472708995972,0.0,0.0,0.0,0.0,0.03941924734962983
BMM,Laboratory,mel13,Cropland,0.0,6.998525023393931e-17,0.17796175409923565,0.38169150827956594,0.8248128347806902,0.125,True,True,0.3816915082795659,0.8248128347806902,0.0,0.0,0.0,0.0,0.06766149981115008
BMM,Laboratory,mel13,Decontaminated,0.0,0.44625522584694066,0.6227285291975961,0.7938113092121526,1.0,0.875,False,True,0.34755608336521193,1.0,-0.0811886907878474,0.0,0.0811886907878474,0.0,0.15283587998880782
BMM,Laboratory,mel13,Forest,0.0,0.0,5.334274688628682e-17,0.09734180564740727,0.36425578403996506,0.0,True,True,0.09734180564740727,0.36425578403996506,0.0,0.0,0.0,0.0,0.015304872847971003
BMM,Laboratory,mel13,Subsurface,0.0,1.6479873380440014e-17,0.0581023269151779,0.17853796601159475,0.45702111210819935,0.0,False,True,0.17853796601159472,0.45702111210819935,1.6479873380440014e-17,0.0,1.6479873380440014e-17,0.0,0.039964785972140385
BMM,Laboratory,mel15,Cropland,0.0,0.07095586320763347,0.25976648155102133,0.4403949990454368,0.7680766035969114,0.375,True,True,0.3694391358378033,0.7680766035969114,0.0,0.0,0.0,0.0,0.08010312557552748
BMM,Laboratory,mel15,Decontaminated,6.396792817664482e-19,0.3094748539642496,0.4742496835055875,0.6253051185761554,0.8745199038941783,0.625,True,True,0.31583026461190583,0.8745199038941783,0.0,0.0,0.0,0.0,0.09336891576092282
