sample,Subsurface,Decontaminated,Cropland,Forest
mel1,1.0,0.0,0.0,0.0
mel2,0.0,1.0,0.0,0.0
mel3,0.0,0.0,1.0,0.0
mel4,0.0,0.0,0.0,1.0
mel5,0.25,0.25,0.25,0.25
mel6,0.875,0.125,0.0,0.0
mel8,0.625,0.375,0.0,0.0
mel10,0.375,0.625,0.0,0.0
mel12,0.125,0.875,0.0,0.0
mel13,0.0,0.875,0.125,0.0
mel15,0.0,0.625,0.375,0.0
mel17,0.0,0.375,0.625,0.0
mel19,0.0,0.125,0.875,0.0
mel20,0.875,0.0,0.125,0.0
mel22,0.625,0.0,0.375,0.0
mel24,0.375,0.0,0.625,0.0
mel26,0.125,0.0,0.875,0.0
mel27,0.0,0.0,0.125,0.875
mel29,0.0,0.0,0.375,0.625
mel31,0.0,0.0,0.625,0.375
mel33,0.0,0.0,0.875,0.125
mel34,0.0,0.125,0.0,0.875
mel36,0.0,0.375,0.0,0.625
mel38,0.0,0.625,0.0,0.375
mel40,0.0,0.875,0.0,0.125
mel41,0.125,0.0,0.0,0.875
mel43,0.375,0.0,0.0,0.625
mel45,0.625,0.0,0.0,0.375
mel47,0.875,0.0,0.0,0.125
mel48,0.1,0.3,0.3,0.3
mel49,0.3,0.1,0.3,0.3
mel50,0.3,0.3,0.1,0.3
mel51,0.3,0.3,0.3,0.1
mel52,0.4,0.2,0.2,0.2
mel53,0.2,0.4,0.2,0.2
mel54,0.2,0.2,0.4,0.2
mel55,0.2,0.2,0.2,0.4
mel56,0.55,0.15,0.15,0.15
mel57,0.15,0.55,0.15,0.15
mel58,0.15,0.15,0.55,0.15
mel59,0.15,0.15,0.15,0.55
mel60,0.7,0.1,0.1,0.1
mel61,0.1,0.7,0.1,0.1
mel62,0.1,0.1,0.7,0.1
mel63,0.1,0.1,0.1,0.7
mel64,0.85,0.05,0.05,0.05
mel65,0.05,0.85,0.05,0.05
mel66,0.05,0.05,0.85,0.05
mel67,0.05,0.05,0.05,0.85
mel68,0.7,0.2,0.1,0.0
mel69,0.1,0.7,0.2,0.0
mel70,0.2,0.1,0.7,0.0
mel71,0.0,0.7,0.2,0.1
mel72,0.0,0.1,0.7,0.2
mel73,0.0,0.2,0.1,0.7
mel74,0.7,0.0,0.2,0.1
mel75,0.1,0.0,0.7,0.2
mel76,0.2,0.0,0.1,0.7
mel77,0.7,0.2,0.0,0.1
mel78,0.1,0.7,0.0,0.2
mel79,0.2,0.1,0.0,0.7
mel80,0.9,0.1,0.0,0.0
mel81,0.1,0.9,0.0,0.0
mel82,0.9,0.0,0.1,0.0
mel83,0.1,0.0,0.9,0.0
mel84,0.9,0.0,0.0,0.1
mel85,0.1,0.0,0.0,0.9
mel86,0.0,0.9,0.1,0.0
mel87,0.0,0.1,0.9,0.0
mel88,0.0,0.9,0.0,0.1
mel89,0.0,0.1,0.0,0.9
mel90,0.0,0.0,0.9,0.1
mel91,0.0,0.0,0.1,0.9
mel92,0.5,0.5,0.0,0.0
mel93,0.5,0.0,0.5,0.0
mel94,0.5,0.0,0.0,0.5
mel95,0.0,0.5,0.5,0.0
mel96,0.0,0.5,0.0,0.5
mel97,0.0,0.0,0.5,0.5
