sample,source,source_label,L,h,Si,Zn,Mn,K,Ti,y,C_star
FMS_708A,source_F,Forest,3.186732363948341,4.210354174440454,12.11636454473819,5.050496827521386,7.679736745059891,8.541649678570217,8.721657771895824,-1.0070267120490892,2.311980420356315
FMS_710,source_F,Forest,3.425792463968148,4.232717716619543,12.1259390170568,4.79305954708551,7.281137869623447,8.619144903699901,8.613846105712629,-0.9747801776147634,2.7677008887202352
FMS_711,source_F,Forest,3.601847800282369,4.269505574230104,12.25042057662375,4.804266916143749,6.932994083845762,9.149623870938981,8.535728349145453,-0.9822907978816154,2.7682526889699
FMS_712,source_PF,Cropland,3.55389927564871,4.305646001828269,12.291586359916165,4.925150024739034,6.145643797955656,9.387283323303556,8.495750940671883,-1.0060747736942761,2.4526967741797754
FMS_713,source_PF,Cropland,3.582616485812636,4.283144208450577,12.21072530510387,4.8773324467818355,6.915753210093199,9.06971070323537,8.589599430729333,-0.9813997196969088,2.7455460069450415
FMS_714,source_F,Forest,3.3646048964633444,4.247158183012746,12.009456607711408,4.702841213161538,5.957804345615346,8.958267370336959,8.381749113632257,-0.9874328810474118,2.5889668851977494
FMS_718,source_F,Forest,3.4937290112321584,4.248732577740158,12.116226709516697,4.9682148004345015,7.319818571118528,9.116040681455551,8.376836272077384,-0.9822389181228829,2.7226354487020688
FMS_720,source_PF,Cropland,3.70926900643984,4.319414201570607,12.32412497825618,4.8338185579367465,7.089234814709164,9.281048571446545,8.634769983583672,-0.9792770742646663,2.8063463650819167
FMS_722,source_PF,Cropland,3.8190785921899852,4.2961867558486,12.465214029786372,4.76779910943631,6.576553131016436,9.978817634751898,8.40913793709824,-0.9617405327741411,3.0579468970005603
FMS_724,source_F,Forest,3.4591581693659346,4.222994513599877,12.221757000450225,4.82374330878754,6.902993961880426,9.359641885003894,8.211007647399898,-1.005422720317154,2.495770172465455
FMS_832,source_F,Forest,3.4166027876887175,4.237555157673157,12.0910068523245,4.960394077659509,7.15104649609911,9.408279339665214,8.171249037483847,-0.9960408583953981,2.5495240514081745
FMS_833,source_F,Forest,3.546636711910432,4.26438396861835,12.09282667680206,4.772801027372043,6.153094331433318,9.326032333972256,8.298537056571384,-0.983712643322391,2.7236992770796546
FMS_834,source_S,Subsurface,4.005173121974689,4.283466695366583,12.303186198279594,4.683888940699482,5.797333532354529,9.659997150863228,8.06002523137907,-0.9623584298201189,3.193279243671295
FMS_835,source_PF,Cropland,3.7101106000521167,4.332271038212132,12.302662914761227,4.8801468859423185,6.363769208164925,9.617964481096802,8.383563508247072,-0.989263064495237,2.699923038334297
FMS_836,source_PF,Cropland,3.6052689678975227,4.334706830900847,12.334300059395172,4.924641580929279,6.703310805100412,9.707914176970425,8.408290855355476,-1.0133158420813857,2.3734407377743767
FMS_837,source_S,Subsurface,4.12432818812915,4.301944436064338,12.245164985059299,4.601362947645137,6.011340701112772,9.700299803060789,7.065886596974874,-0.9835569564812884,3.0644032748462884
FMS_838,source_PF,Cropland,3.7029252050957577,4.300154188006797,12.228155025156312,4.971270570573979,6.656456564863477,9.648360436618733,8.141055790888139,-0.9760634700839876,2.8535864677579212
FMS_839,source_PF,Cropland,3.694901696952803,4.310133973885723,12.212446290632244,4.918446903101353,6.643190595367138,9.52371943051515,8.442982444750626,-0.9744896786454833,2.850085546323218
FMS_840,source_S,Subsurface,3.7629565443622455,4.230861578267423,12.179757417210638,4.806395273201279,6.194446206598239,9.464823662992798,8.301469544401856,-0.9633357236182282,3.0957006593236875
FMS_841,source_F,Forest,3.2727976134162824,4.221460048113756,12.062964686479571,4.918958505524352,6.860726562552361,8.990320686308985,8.270013062273787,-1.0206310236929075,2.189765949352636
FMS_842,source_S,Subsurface,3.9772388182144383,4.2818877997810265,12.32689239902148,4.68914361976427,6.018374212414839,9.549790313687044,8.138129478999096,-0.9531939902014266,3.2509914767470858
FMS_843,source_PF,Cropland,3.503025274348485,4.303978587976214,12.277845249977178,4.946061216771016,6.455890148039656,9.473989195659481,8.436911121764576,-1.007397554674183,2.4058317238709255
FMS_844,source_F,Forest,3.3454521446995815,4.255655964343726,12.160259046990628,4.871373226762748,6.721594361265462,9.23222905723382,8.179628758565809,-1.0147807590385536,2.2705994259078093
