model,mixture_type,source_label,mean_crps,median_abs_error,p95_coverage,w95
BMM,Laboratory,Cropland,0.11462827695071096,0.11798978684182818,0.9620253164556962,0.8012955463579968
BMM,Laboratory,Decontaminated,0.11769762644189555,0.19369730890712294,0.9873417721518988,0.825300924224962
BMM,Laboratory,Forest,0.08135079374455756,0.08771717982775003,0.9873417721518988,0.5836292674770913
BMM,Laboratory,Subsurface,0.0983952219598281,0.0822934216584319,0.9113924050632911,0.4942647691488789
BMM,Virtual,Cropland,3.425411471541896e-05,1.1629097228793572e-06,1.0,0.0016258593392145578
BMM,Virtual,Decontaminated,3.106505723325572e-05,3.7982010869797023e-07,1.0,0.001485696653226553
BMM,Virtual,Forest,2.355840557709281e-05,2.374648011005398e-07,1.0,0.0010712773773652615
BMM,Virtual,Subsurface,2.0481218660426123e-05,9.586625265844972e-08,1.0,0.000963535332502277
Bayesian,Laboratory,Cropland,0.11367180312672598,0.1368296850572674,0.5569620253164557,0.5228887316609669
Bayesian,Laboratory,Decontaminated,0.12412680357267686,0.16803491196795806,0.5569620253164557,0.5735330516680205
Bayesian,Laboratory,Forest,0.07816982373205184,0.08087762455399361,0.4936708860759494,0.2916560677951228
Bayesian,Laboratory,Subsurface,0.09130005175033222,0.0839926867980818,0.5063291139240507,0.41046466864662373
Bayesian,Virtual,Cropland,0.10746865818063919,0.13596395185864307,0.5569620253164557,0.4728081781471491
Bayesian,Virtual,Decontaminated,0.12155134886126776,0.14168875537987555,0.5063291139240507,0.5031101891294639
Bayesian,Virtual,Forest,0.05888152927203167,0.06630650787240776,0.5569620253164557,0.29831939207781133
Bayesian,Virtual,Subsurface,0.07814557791930814,0.0882722599353089,0.5443037974683544,0.38059308979546486
