sample,source_label,estimated_proportion,true_proportion,rss
mel1,Subsurface,0.9161598478316151,1.0,0.0005639363872979859
mel1,Decontaminated,0.08384015216838481,0.0,0.0005639363872979859
mel1,Cropland,0.0,0.0,0.0005639363872979859
mel1,Forest,1.7347234759768067e-18,0.0,0.0005639363872979859
mel2,Subsurface,0.21189154506382166,0.0,0.00016435545448515836
mel2,Decontaminated,0.7881084549361783,1.0,0.00016435545448515836
mel2,Cropland,2.7919052974448993e-17,0.0,0.00016435545448515836
mel2,Forest,0.0,0.0,0.00016435545448515836
mel3,Subsurface,0.03905783061196681,0.0,6.97509805529469e-05
mel3,Decontaminated,0.0,0.0,6.97509805529469e-05
mel3,Cropland,0.853456505120796,1.0,6.97509805529469e-05
mel3,Forest,0.10748566426723727,0.0,6.97509805529469e-05
mel4,Subsurface,1.2143064331837654e-17,0.0,0.0006139401400509475
mel4,Decontaminated,0.08340252157003356,0.0,0.0006139401400509475
mel4,Cropland,0.0,0.0,0.0006139401400509475
mel4,Forest,0.9165974784299664,1.0,0.0006139401400509475
mel5,Subsurface,0.18941315029805567,0.25,0.0002479390413376681
mel5,Decontaminated,0.4348647362634223,0.25,0.0002479390413376681
mel5,Cropland,0.06747821251124603,0.25,0.0002479390413376681
mel5,Forest,0.3082439009272758,0.25,0.0002479390413376681
mel6,Subsurface,0.7303289733533512,0.875,0.0011576943206163784
mel6,Decontaminated,0.2696710266466488,0.125,0.0011576943206163784
mel6,Cropland,0.0,0.0,0.0011576943206163784
mel6,Forest,5.637851296924623e-18,0.0,0.0011576943206163784
mel8,Subsurface,0.5242941357292867,0.625,0.0012013081444153101
mel8,Decontaminated,0.4757058642707133,0.375,0.0012013081444153101
mel8,Cropland,0.0,0.0,0.0012013081444153101
mel8,Forest,1.0408340855860843e-17,0.0,0.0012013081444153101
mel10,Subsurface,0.38329325157579597,0.375,0.0006248808056434491
mel10,Decontaminated,0.616706748424204,0.625,0.0006248808056434491
mel10,Cropland,0.0,0.0,0.0006248808056434491
mel10,Forest,4.811147140404425e-19,0.0,0.0006248808056434491
mel12,Subsurface,0.16323753222454387,0.125,0.0010123386158449482
mel12,Decontaminated,0.8367624677754562,0.875,0.0010123386158449482
mel12,Cropland,4.4750444669339196e-17,0.0,0.0010123386158449482
mel12,Forest,3.424723612338587e-17,0.0,0.0010123386158449482
mel13,Subsurface,0.023396123232292176,0.0,0.000374627588703351
mel13,Decontaminated,0.9766038767677079,0.875,0.000374627588703351
mel13,Cropland,3.903127820947816e-18,0.125,0.000374627588703351
mel13,Forest,0.0,0.0,0.000374627588703351
mel15,Subsurface,0.06529062014762986,0.0,7.355879679094497e-05
mel15,Decontaminated,0.6379713154736399,0.625,7.355879679094497e-05
mel15,Cropland,0.2126316398483644,0.375,7.355879679094497e-05
mel15,Forest,0.08410642453036583,0.0,7.355879679094497e-05
mel17,Subsurface,1.8075153698814735e-17,0.0,0.00021491000995101767
mel17,Decontaminated,0.3735444467364489,0.375,0.00021491000995101767
mel17,Cropland,0.5617153902821393,0.625,0.00021491000995101767
mel17,Forest,0.0647401629814117,0.0,0.00021491000995101767
mel19,Subsurface,4.3757722055157156e-18,0.0,0.00015194674124128357
mel19,Decontaminated,0.23661798330491632,0.125,0.00015194674124128357
mel19,Cropland,0.6151122437052272,0.875,0.00015194674124128357
mel19,Forest,0.14826977298985647,0.0,0.00015194674124128357
mel20,Subsurface,0.877298039305587,0.875,0.00022042876444200625
mel20,Decontaminated,0.06229987233530553,0.0,0.00022042876444200625
mel20,Cropland,0.012993261568979233,0.125,0.00022042876444200625
mel20,Forest,0.047408826790128256,0.0,0.00022042876444200625
mel22,Subsurface,0.4817067204893378,0.625,0.00033573594642643026
mel22,Decontaminated,0.2073474957055055,0.0,0.00033573594642643026
mel22,Cropland,0.3109457838051567,0.375,0.00033573594642643026
mel22,Forest,3.262770912823565e-18,0.0,0.00033573594642643026
