sample,source_label,estimated_proportion,true_proportion,ratio_objective
mel1,Subsurface,0.96090918280095,1.0,0.0005755101569022223
mel1,Decontaminated,1.229891839413244e-18,0.0,0.0005755101569022223
mel1,Cropland,0.039090817199050054,0.0,0.0005755101569022223
mel1,Forest,0.0,0.0,0.0005755101569022223
mel2,Subsurface,0.26425834647969937,0.0,0.0023006905781591
mel2,Decontaminated,0.6525972791584385,1.0,0.0023006905781591
mel2,Cropland,0.0,0.0,0.0023006905781591
mel2,Forest,0.08314437436186216,0.0,0.0023006905781591
mel3,Subsurface,0.0533657822322942,0.0,0.0020816465293179657
mel3,Decontaminated,7.201685875792877e-18,0.0,0.0020816465293179657
mel3,Cropland,0.8782461838794614,1.0,0.0020816465293179657
mel3,Forest,0.06838803388824448,0.0,0.0020816465293179657
mel4,Subsurface,0.0,0.0,0.0006065403525549677
mel4,Decontaminated,2.2204460492503126e-16,0.0,0.0006065403525549677
mel4,Cropland,2.064788026584004e-17,0.0,0.0006065403525549677
mel4,Forest,0.9999999999999998,1.0,0.0006065403525549677
mel5,Subsurface,0.20759014623848776,0.25,0.003036897307694377
mel5,Decontaminated,0.3616624145706938,0.25,0.003036897307694377
mel5,Cropland,0.17090255072432498,0.25,0.003036897307694377
mel5,Forest,0.25984488846649356,0.25,0.003036897307694377
mel6,Subsurface,0.7358100565418425,0.875,0.0026218351782329244
mel6,Decontaminated,0.2641899434581575,0.125,0.0026218351782329244
mel6,Cropland,2.418490822647841e-18,0.0,0.0026218351782329244
mel6,Forest,4.716575911843483e-17,0.0,0.0026218351782329244
mel8,Subsurface,0.5282730548037116,0.625,0.0021979842684858955
mel8,Decontaminated,0.4393252289402874,0.375,0.0021979842684858955
mel8,Cropland,0.032401716256001085,0.0,0.0021979842684858955
mel8,Forest,1.0219240750386322e-17,0.0,0.0021979842684858955
mel10,Subsurface,0.3873301730417362,0.375,0.0011401048071615722
mel10,Decontaminated,0.6126698269582638,0.625,0.0011401048071615722
mel10,Cropland,0.0,0.0,0.0011401048071615722
mel10,Forest,1.5887373475175284e-17,0.0,0.0011401048071615722
mel12,Subsurface,0.10963593598202266,0.125,0.0012538687999361742
mel12,Decontaminated,0.8903640640179774,0.875,0.0012538687999361742
mel12,Cropland,3.088282125689179e-18,0.0,0.0012538687999361742
mel12,Forest,0.0,0.0,0.0012538687999361742
mel13,Subsurface,0.0017702397237924939,0.0,0.0030345328676900886
mel13,Decontaminated,0.9642609007720148,0.875,0.0030345328676900886
mel13,Cropland,0.03396885950419269,0.125,0.0030345328676900886
mel13,Forest,1.4621482735503732e-17,0.0,0.0030345328676900886
mel15,Subsurface,0.08510718197424563,0.0,0.0009239773653521639
mel15,Decontaminated,0.5148593644474908,0.625,0.0009239773653521639
mel15,Cropland,0.3282455533343591,0.375,0.0009239773653521639
mel15,Forest,0.07178790024390455,0.0,0.0009239773653521639
mel17,Subsurface,5.154195484042418e-19,0.0,0.0012483287277764651
mel17,Decontaminated,0.2559773089368536,0.375,0.0012483287277764651
mel17,Cropland,0.659157065927846,0.625,0.0012483287277764651
mel17,Forest,0.0848656251353005,0.0,0.0012483287277764651
mel19,Subsurface,1.2313211551420338e-18,0.0,0.0009240098393956858
mel19,Decontaminated,0.16228118200607305,0.125,0.0009240098393956858
mel19,Cropland,0.7480075574976774,0.875,0.0009240098393956858
mel19,Forest,0.08971126049624958,0.0,0.0009240098393956858
mel20,Subsurface,0.9308983827332972,0.875,0.0012044148753541672
mel20,Decontaminated,7.759668829796645e-18,0.0,0.0012044148753541672
mel20,Cropland,0.03126644039040133,0.125,0.0012044148753541672
mel20,Forest,0.03783517687630155,0.0,0.0012044148753541672
mel22,Subsurface,0.509065551193835,0.625,0.0006555155230803032
mel22,Decontaminated,1.087018557035125e-17,0.0,0.0006555155230803032
mel22,Cropland,0.49093444880616505,0.375,0.0006555155230803032
mel22,Forest,0.0,0.0,0.0006555155230803032
mel24,Subsurface,0.2694262095653083,0.375,0.00012099493284332623
mel24,Decontaminated,0.02331581263952819,0.0,0.00012099493284332623
mel24,Cropland,0.6623449683916165,0.625,0.00012099493284332623
mel24,Forest,0.04491300940354719,0.0,0.00012099493284332623
mel26,Subsurface,0.0297726148110057,0.125,0.0005966591880106641
mel26,Decontaminated,0.06802596370980393,0.0,0.0005966591880106641
mel26,Cropland,0.9022014214791904,0.875,0.0005966591880106641
mel26,Forest,5.499361410048545e-19,0.0,0.0005966591880106641
mel27,Subsurface,1.8740603731819196e-18,0.0,0.0010519240650992737
mel27,Decontaminated,0.004010875966870538,0.0,0.0010519240650992737
mel27,Cropland,0.10315633975460493,0.125,0.0010519240650992737
mel27,Forest,0.8928327842785245,0.875,0.0010519240650992737
mel29,Subsurface,2.976156139296391e-18,0.0,0.000783613114200152
mel29,Decontaminated,0.00882228420816745,0.0,0.000783613114200152
mel29,Cropland,0.3878230474772289,0.375,0.000783613114200152
mel29,Forest,0.6033546683146037,0.625,0.000783613114200152
mel31,Subsurface,1.30392251900327e-17,0.0,0.0006203847632559659
mel31,Decontaminated,9.853778293136738e-18,0.0,0.0006203847632559659
mel31,Cropland,0.5956698116946082,0.625,0.0006203847632559659
mel31,Forest,0.40433018830539175,0.375,0.0006203847632559659
mel33,Subsurface,0.10518989465640789,0.0,0.003707318743179384
mel33,Decontaminated,0.0,0.0,0.003707318743179384
mel33,Cropland,0.728289424073983,0.875,0.003707318743179384
mel33,Forest,0.16652068126960917,0.125,0.003707318743179384
mel34,Subsurface,0.07748898583850902,0.0,0.0017143981382794563
mel34,Decontaminated,1.963422371735468e-18,0.125,0.0017143981382794563
mel34,Cropland,1.838485012015459e-18,0.0,0.0017143981382794563
mel34,Forest,0.9225110141614911,0.875,0.0017143981382794563
mel36,Subsurface,2.0745531012612832e-17,0.0,0.0018524243432329955
mel36,Decontaminated,0.23748423387768214,0.375,0.0018524243432329955
mel36,Cropland,0.1040772254294661,0.0,0.0018524243432329955
mel36,Forest,0.6584385406928518,0.625,0.0018524243432329955
mel38,Subsurface,0.0700790495177424,0.0,0.0018216014361272872
