sample,tracer_i,tracer_j,ratio_pair,log_ratio_residual
mel1,L,h,L/h,0.015585652051374691
mel1,L,Si,L/Si,0.03313294542102463
mel1,L,Zn,L/Zn,0.04364674970790425
mel1,L,Mn,L/Mn,0.025196224571313874
mel1,L,K,L/K,0.04914167727711194
mel1,L,Ti,L/Ti,0.023363618604670733
mel1,L,y,L/y,0.02143116066862169
mel1,L,C_star,L/C_star,0.05226202526898957
mel1,h,Si,h/Si,0.01754729336964994
mel1,h,Zn,h/Zn,0.028061097656529546
mel1,h,Mn,h/Mn,0.009610572519939187
mel1,h,K,h/K,0.03355602522573724
mel1,h,Ti,h/Ti,0.007777966553296045
mel1,h,y,h/y,0.005845508617247003
mel1,h,C_star,h/C_star,0.03667637321761487
mel1,Si,Zn,Si/Zn,0.010513804286879605
mel1,Si,Mn,Si/Mn,-0.007936720849710754
mel1,Si,K,Si/K,0.01600873185608731
mel1,Si,Ti,Si/Ti,-0.009769326816353896
mel1,Si,y,Si/y,-0.011701784752402942
mel1,Si,C_star,Si/C_star,0.01912907984796493
mel1,Zn,Mn,Zn/Mn,-0.018450525136590346
mel1,Zn,K,Zn/K,0.0054949275692076915
mel1,Zn,Ti,Zn/Ti,-0.020283131103233515
mel1,Zn,y,Zn/y,-0.022215589039282557
mel1,Zn,C_star,Zn/C_star,0.008615275561085323
mel1,Mn,K,Mn/K,0.023945452705798065
mel1,Mn,Ti,Mn/Ti,-0.0018326059666431416
mel1,Mn,y,Mn/y,-0.003765063902692267
mel1,Mn,C_star,Mn/C_star,0.027065800697675724
mel1,K,Ti,K/Ti,-0.025778058672441206
mel1,K,y,K/y,-0.02771051660849025
mel1,K,C_star,K/C_star,0.003120347991877631
mel1,Ti,y,Ti/y,-0.0019324579360490146
mel1,Ti,C_star,Ti/C_star,0.028898406664318865
mel1,y,C_star,y/C_star,0.030830864600367873
mel2,L,h,L/h,0.0095781966425902
mel2,L,Si,L/Si,-0.10515255032894327
mel2,L,Zn,L/Zn,-0.013639067005683132
mel2,L,Mn,L/Mn,-0.0067257413199530575
mel2,L,K,L/K,-0.013429835740673565
mel2,L,Ti,L/Ti,-0.0331441560008858
mel2,L,y,L/y,-0.007541269716848473
mel2,L,C_star,L/C_star,-0.010557852241715265
mel2,h,Si,h/Si,-0.11473074697153346
mel2,h,Zn,h/Zn,-0.023217263648273333
mel2,h,Mn,h/Mn,-0.016303937962543258
mel2,h,K,h/K,-0.023008032383263766
mel2,h,Ti,h/Ti,-0.042722352643476
mel2,h,y,h/y,-0.01711946635943868
mel2,h,C_star,h/C_star,-0.02013604888430548
mel2,Si,Zn,Si/Zn,0.09151348332326013
mel2,Si,Mn,Si/Mn,0.09842680900899022
mel2,Si,K,Si/K,0.0917227145882697
mel2,Si,Ti,Si/Ti,0.07200839432805747
mel2,Si,y,Si/y,0.09761128061209479
mel2,Si,C_star,Si/C_star,0.09459469808722801
mel2,Zn,Mn,Zn/Mn,0.006913325685730075
mel2,Zn,K,Zn/K,0.00020923126500956707
mel2,Zn,Ti,Zn/Ti,-0.019505088995202667
mel2,Zn,y,Zn/y,0.00609779728883466
mel2,Zn,C_star,Zn/C_star,0.00308121476396786
mel2,Mn,K,Mn/K,-0.006704094420720508
mel2,Mn,Ti,Mn/Ti,-0.026418414680932742
mel2,Mn,y,Mn/y,-0.0008155283968954152
mel2,Mn,C_star,Mn/C_star,-0.003832110921762208
mel2,K,Ti,K/Ti,-0.019714320260212234
mel2,K,y,K/y,0.0058885660238250925
mel2,K,C_star,K/C_star,0.0028719834989583
mel2,Ti,y,Ti/y,0.025602886284037327
mel2,Ti,C_star,Ti/C_star,0.022586303759170534
mel2,y,C_star,y/C_star,-0.003016582524866779
mel3,L,h,L/h,0.026529587942313915
mel3,L,Si,L/Si,-0.044854807805093044
mel3,L,Zn,L/Zn,0.04584226571817013
mel3,L,Mn,L/Mn,-0.038601626644450104
mel3,L,K,L/K,-0.019107550171268917
mel3,L,Ti,L/Ti,-0.03540481349334057
mel3,L,y,L/y,0.021226535769618526
mel3,L,C_star,L/C_star,-0.020400880868018667
mel3,h,Si,h/Si,-0.0713843957474069
mel3,h,Zn,h/Zn,0.019312677775856213
mel3,h,Mn,h/Mn,-0.06513121458676402
mel3,h,K,h/K,-0.045637138113582804
mel3,h,Ti,h/Ti,-0.061934401435654506
mel3,h,y,h/y,-0.0053030521726954195
mel3,h,C_star,h/C_star,-0.04693046881033258
mel3,Si,Zn,Si/Zn,0.09069707352326312
mel3,Si,Mn,Si/Mn,0.00625318116064294
mel3,Si,K,Si/K,0.0257472576338241
mel3,Si,Ti,Si/Ti,0.009449994311752398
mel3,Si,y,Si/y,0.06608134357471149
mel3,Si,C_star,Si/C_star,0.024453926937074377
mel3,Zn,Mn,Zn/Mn,-0.08444389236262023
mel3,Zn,K,Zn/K,-0.06494981588943903
mel3,Zn,Ti,Zn/Ti,-0.08124707921151071
mel3,Zn,y,Zn/y,-0.024615729948551632
mel3,Zn,C_star,Zn/C_star,-0.0662431465861888
mel3,Mn,K,Mn/K,0.019494076473181188
mel3,Mn,Ti,Mn/Ti,0.0031968131511095066
mel3,Mn,y,Mn/y,0.05982816241406863
mel3,Mn,C_star,Mn/C_star,0.018200745776431437
mel3,K,Ti,K/Ti,-0.016297263322071702
mel3,K,y,K/y,0.04033408594088739
mel3,K,C_star,K/C_star,-0.0012933306967497504
mel3,Ti,y,Ti/y,0.056631349262959096
mel3,Ti,C_star,Ti/C_star,0.015003932625321903
mel3,y,C_star,y/C_star,-0.04162741663763719
mel4,L,h,L/h,0.03679539581102792
mel4,L,Si,L/Si,0.003938860155542789
mel4,L,Zn,L/Zn,0.03801156657516436
mel4,L,Mn,L/Mn,0.022451905064046263
mel4,L,K,L/K,0.01975549548962502
mel4,L,Ti,L/Ti,0.047270855953333246
mel4,L,y,L/y,0.030545054288454554
mel4,L,C_star,L/C_star,0.048291546734860136
mel4,h,Si,h/Si,-0.03285653565548516
mel4,h,Zn,h/Zn,0.001216170764136354
mel4,h,Mn,h/Mn,-0.014343490746981755
mel4,h,K,h/K,-0.017039900321402957
mel4,h,Ti,h/Ti,0.010475460142305243
mel4,h,y,h/y,-0.006250341522573484
mel4,h,C_star,h/C_star,0.01149615092383205
mel4,Si,Zn,Si/Zn,0.03407270641962151
mel4,Si,Mn,Si/Mn,0.01851304490850339
mel4,Si,K,Si/K,0.015816635334082174
