sample,dominant_true,dominant_pred,dominant_correct,aitchison_distance,mean_absolute_error
mel1,Subsurface,Subsurface,True,21.133162550052255,0.019545408599525027
mel10,Decontaminated,Decontaminated,True,0.03748387064645646,0.006165086520868117
mel12,Decontaminated,Decontaminated,True,0.11945131405515952,0.0076820320089886875
mel13,Decontaminated,Decontaminated,True,18.822037650010913,0.04551557024790365
mel15,Decontaminated,Decontaminated,True,25.245913807398274,0.07844754110907506
mel17,Cropland,Cropland,True,21.890392593380575,0.05951134553157321
mel19,Cropland,Cropland,True,21.813002062044745,0.0634962212511613
mel2,Decontaminated,Decontaminated,True,25.95005711071212,0.17370136042078077
mel20,Subsurface,Subsurface,True,21.50668825421896,0.04686677980479935
mel22,Subsurface,Subsurface,True,0.33709650785558326,0.05796722440308251
mel24,Cropland,Cropland,True,24.342460088094786,0.052786895217345906
mel26,Cropland,Cropland,True,22.038573328874733,0.047613692594497145
mel27,Forest,Forest,True,19.20012824588595,0.010921830122697533
mel29,Forest,Forest,True,19.832983569301597,0.01082266584269816
mel3,Cropland,Cropland,True,24.89015102045237,0.060876908060269325
mel31,Cropland,Cropland,True,0.08829332007573759,0.014665094152695894
mel33,Cropland,Cropland,True,21.95163282408328,0.07335528796300851
mel34,Forest,Forest,True,35.79827180252013,0.06250000000000003
mel36,Forest,Forest,True,22.090055959123635,0.06875788306115894
mel38,Decontaminated,Forest,False,24.650918166121173,0.10412988697238951
mel4,Forest,Forest,True,0.0,1.1618427252897567e-16
mel40,Decontaminated,Decontaminated,True,22.000513144101312,0.0451879882326916
mel41,Forest,Forest,True,0.38198829007047036,0.021546219325804486
mel43,Forest,Forest,True,22.461931690134072,0.07845513988933223
mel45,Subsurface,Subsurface,True,22.390117462652988,0.07570882731861944
mel47,Subsurface,Subsurface,True,26.167602972450158,0.11731578623349216
mel48,Decontaminated,Cropland,False,22.02177410731279,0.05736093744618085
mel49,Subsurface,Forest,False,22.00841875689456,0.08221977945087397
mel5,Subsurface,Decontaminated,False,0.5574964343421512,0.06075365151859366
mel50,Subsurface,Forest,False,0.706569025110238,0.05172176499394948
mel51,Subsurface,Cropland,False,1.7122654496278753,0.11329592284563275
mel52,Subsurface,Cropland,False,0.5391854709932626,0.06657578982903364
mel53,Decontaminated,Decontaminated,True,1.494845907341542,0.12692893648957684
mel54,Cropland,Cropland,True,0.7393795457573125,0.08650658919106863
mel55,Forest,Cropland,False,22.702871700920507,0.1650949844165066
mel56,Subsurface,Subsurface,True,1.095784790085018,0.10461529547817577
mel57,Decontaminated,Decontaminated,True,1.5092007965396994,0.11400108525854183
mel58,Cropland,Cropland,True,1.4255471601658756,0.09633468693998977
mel59,Forest,Forest,True,22.481428031754035,0.07820457171313612
mel6,Subsurface,Subsurface,True,0.7122956002278187,0.06959497172907876
mel60,Subsurface,Subsurface,True,0.6427125347603351,0.056337490918512555
mel61,Decontaminated,Decontaminated,True,22.002698527039346,0.05754792847698468
mel62,Cropland,Cropland,True,1.7970994296571574,0.07591651910458913
mel63,Forest,Forest,True,22.136427617097606,0.05014725980302197
mel64,Subsurface,Subsurface,True,21.561489511647643,0.07455031089918347
mel65,Decontaminated,Decontaminated,True,21.42829246864944,0.03050818747829752
mel66,Cropland,Cropland,True,21.03431946492672,0.04408275099071821
mel67,Forest,Forest,True,25.108101296761127,0.05000000000000002
mel68,Subsurface,Subsurface,True,0.6421196690127178,0.0385924121347089
mel69,Decontaminated,Decontaminated,True,0.24685524789753208,0.02715937152539177
mel70,Cropland,Cropland,True,35.73495832125951,0.05663891134680091
mel71,Decontaminated,Decontaminated,True,0.31609839934298467,0.03537360001163714
mel72,Cropland,Cropland,True,20.87458982101372,0.05752345068647051
mel73,Forest,Forest,True,0.672909849513595,0.04533446384297414
mel74,Subsurface,Subsurface,True,0.7416551012039718,0.08945303497001858
mel75,Cropland,Cropland,True,1.7818930793170142,0.08282246905060461
mel76,Forest,Forest,True,0.9481170678866854,0.05827461739677427
mel77,Subsurface,Subsurface,True,22.4753073683866,0.10980432459103169
mel78,Decontaminated,Decontaminated,True,22.600607288333,0.0833835331622266
mel79,Forest,Forest,True,22.016223673558212,0.05000000000000002
mel8,Subsurface,Subsurface,True,20.96320150174387,0.04836347259814423
mel80,Subsurface,Subsurface,True,20.145152088924366,0.03221471683602788
mel81,Decontaminated,Decontaminated,True,0.6638902803131667,0.026282339366053765
mel82,Subsurface,Subsurface,True,19.56140754948398,0.00319977986940738
mel83,Cropland,Cropland,True,0.9167678123850993,0.032212688070951345
mel84,Subsurface,Subsurface,True,23.693275214890146,0.10508974721587983
mel85,Forest,Forest,True,21.51994695709086,0.04021457214629681
mel86,Decontaminated,Decontaminated,True,21.965652453198395,0.04999999999999999
mel87,Cropland,Cropland,True,21.91975589811013,0.03424609646637834
mel88,Decontaminated,Decontaminated,True,25.52226281681556,0.13407885937048858
mel89,Forest,Forest,True,0.2519293976334992,0.0122430079975346
mel90,Cropland,Cropland,True,0.34895531746624375,0.01614105625117357
mel91,Forest,Forest,True,35.3539979234967,0.050000000000000024
mel92,Subsurface,Subsurface,True,0.05918644487329011,0.010455537572571116
mel93,Subsurface,Cropland,False,20.121286176584388,0.06590173071532691
mel94,Subsurface,Forest,False,26.1548404981758,0.16570839088876405
mel95,Decontaminated,Cropland,False,21.145283916029676,0.07221325641937111
mel96,Decontaminated,Forest,False,22.425707302477274,0.10737599989512024
mel97,Cropland,Cropland,True,0.22634553340681107,0.03961284248944413
