# c1, c2, c3, c4, c5
0.62,0.33,0.54,0.04,0.17
0.12,0.72,0.52,0.08,0.79
0.90,0.87,0.19,0.95,1.00
0.72,0.28,0.51,0.67,0.90
0.95,0.11,0.41,0.88,0.69
0.73,0.75,0.68,0.37,0.21
0.81,0.60,0.89,0.44,1.00
0.28,0.26,0.63,0.30,0.23
0.03,0.67,0.24,0.75,0.60
0.40,0.11,0.90,0.87,0.70
0.88,0.65,0.16,0.30,0.34
0.47,0.15,0.70,0.13,0.19
0.16,0.30,0.57,0.39,0.22
0.62,0.58,0.02,0.77,0.60
0.47,0.34,0.62,0.48,0.76
0.33,0.16,0.96,0.43,0.25
0.66,0.33,0.51,0.64,0.82
0.55,0.59,0.40,0.90,0.42
0.33,0.06,0.64,0.40,0.54
0.76,0.23,0.92,0.08,0.37
0.02,0.82,0.05,0.49,0.43
0.54,0.18,0.41,0.87,0.01
0.44,0.22,0.62,0.13,0.64
0.45,0.94,0.99,0.83,0.56
0.26,0.59,0.40,0.72,0.58
0.62,0.37,0.64,0.60,0.87
0.40,0.48,0.11,0.81,0.98
0.36,0.18,0.70,0.85,0.28
0.42,0.95,0.64,0.38,0.44
0.31,0.38,0.78,0.86,0.62
0.19,0.82,0.10,0.81,0.90
0.42,0.73,0.67,0.54,0.45
0.93,0.79,0.39,0.42,0.42
0.42,0.15,0.90,0.26,0.58
0.40,0.48,0.26,0.69,0.50
0.48,0.98,0.10,0.72,0.99
0.44,0.28,0.57,0.09,0.42
0.23,0.24,0.46,0.49,0.34
0.17,0.37,0.85,0.30,0.62
0.56,0.80,0.76,0.36,0.73
0.41,0.12,0.24,0.86,0.31
0.20,0.34,0.64,0.85,0.60
0.87,0.89,0.58,0.48,0.36
0.17,0.65,0.49,0.17,0.89
0.14,0.90,0.54,0.73,0.20
0.84,0.88,0.13,0.04,0.34
0.16,0.86,0.57,0.67,0.83
0.11,0.25,0.21,0.25,0.99
0.09,0.49,0.19,0.95,0.84
0.74,0.25,0.96,0.68,0.30
0.43,0.45,0.74,0.08,0.86
0.14,0.59,0.06,0.55,0.84
0.11,0.75,0.37,0.26,0.45
0.98,0.19,0.22,0.89,0.97
0.77,0.13,0.45,0.26,0.00
0.72,0.09,0.52,0.23,0.06
0.10,0.48,0.84,0.71,0.64
0.03,0.28,0.32,0.01,0.94
0.23,0.67,0.55,0.12,0.40
0.55,0.53,0.67,0.92,0.00
0.81,0.47,0.09,0.68,0.15
0.52,0.23,0.30,0.34,0.47
0.04,0.79,0.73,0.29,0.54
0.67,0.73,0.43,0.07,0.26
0.20,0.15,0.42,0.03,0.61
0.40,0.57,0.22,0.73,1.00
0.06,0.80,0.68,0.60,0.76
0.17,0.32,0.19,0.87,0.82
0.64,0.86,0.90,0.32,0.91
0.40,0.34,0.87,0.11,0.48
0.43,0.07,0.20,0.34,0.57
0.34,0.93,0.07,0.20,0.18
0.59,0.76,0.32,0.96,0.81
0.16,0.97,0.17,0.51,0.44
0.83,0.06,0.88,0.50,0.31
0.15,0.40,0.02,0.86,0.37
0.29,0.25,0.69,0.62,0.57
0.06,0.16,0.11,0.15,0.05
0.50,0.92,0.52,0.84,0.68
0.79,0.65,0.30,0.86,0.58
0.51,0.32,0.88,0.39,0.57
0.85,0.06,0.70,0.64,0.83
0.09,0.63,0.40,0.03,0.79
0.05,0.56,0.49,0.94,0.09
0.72,0.97,0.19,0.48,0.38
0.89,0.25,0.36,0.39,0.96
0.72,0.82,0.66,0.80,0.90
0.68,0.25,0.53,0.20,0.04
0.56,0.95,0.97,0.58,0.07
0.54,0.35,0.41,0.01,0.32
0.30,0.67,0.62,0.97,0.40
0.15,0.85,0.71,0.05,0.77
0.38,0.32,0.74,0.31,0.99
0.88,0.58,0.04,0.97,0.27
0.51,0.02,0.44,0.89,0.66
0.04,0.09,0.50,0.27,0.74
0.67,0.29,0.61,0.84,0.63
0.33,0.85,0.79,0.44,0.19
1.00,0.39,0.65,0.31,0.21
0.81,0.72,0.68,0.43,0.43
